All these maps were completed in less than 1.5 day for r1
SpaceIsKey,		rls: 2013-11-21 21:45:00,	r1: 2013-11-22 00:39:50
Purple Panic 2,		rls: 2014-08-19 22:41:00,	r1: 2014-08-20 18:51:29
Peaceful Jungle 2,		rls: 2014-12-30 13:09:00,	r1: 2014-12-30 15:27:06
Gold Mine,		rls: 2015-03-07 16:49:00,	r1: 2015-03-08 01:27:15
UpNDown,		rls: 2015-04-05 20:00:00,	r1: 2015-04-06 02:24:22
JustCopyFly,		rls: 2015-04-24 15:38:00,	r1: 2015-04-24 19:06:22
Strike,		rls: 2015-04-25 10:07:00,	r1: 2015-04-25 12:57:52
Fall & Rise,		rls: 2015-07-29 17:51:00,	r1: 2015-07-29 14:02:00
Push him,		rls: 2015-10-02 15:08:00,	r1: 2015-10-03 14:49:28
Cold Jungle,		rls: 2016-01-09 17:36:00,	r1: 2016-01-10 22:01:31
Noovice!,		rls: 2016-05-15 19:56:00,	r1: 2016-05-15 21:58:18
run_irish_luck,		rls: 2016-07-24 17:57:00,	r1: 2016-07-25 21:30:55
Handifly,		rls: 2016-07-26 13:54:00,	r1: 2016-07-28 01:03:24
Cartoon,		rls: 2016-07-30 16:03:00,	r1: 2016-07-30 21:21:15
Sandland,		rls: 2016-08-27 20:59:00,	r1: 2016-08-27 22:16:50
Who's Faster,		rls: 2016-10-09 18:20:00,	r1: 2016-10-10 23:30:08
PurpleHeaven,		rls: 2016-10-22 20:07:00,	r1: 2016-10-22 23:40:53
Samdragaline,		rls: 2016-12-22 09:17:00,	r1: 2016-12-22 21:08:28
Indicud,		rls: 2017-01-12 05:11:00,	r1: 2017-01-12 19:49:27
Looney [Extreme],		rls: 2017-01-14 08:15:00,	r1: 2017-01-14 15:35:11
SonQuery,		rls: 2017-01-16 11:01:00,	r1: 2017-01-16 18:26:18
Tricktee,		rls: 2017-03-31 17:27:00,	r1: 2017-03-31 20:43:11
Emerald,		rls: 2017-04-06 20:23:00,	r1: 2017-04-07 15:27:44
Pranki,		rls: 2017-04-30 19:10:00,	r1: 2017-04-30 22:07:36
Toadsquad,		rls: 2017-05-23 19:21:00,	r1: 2017-05-24 16:21:24
Triple Kill,		rls: 2017-06-16 18:42:00,	r1: 2017-06-17 12:59:31
Intercepter,		rls: 2017-07-16 17:10:00,	r1: 2017-07-16 21:19:27
CrashTV,		rls: 2017-08-12 16:30:00,	r1: 2017-08-13 11:32:49
blur,		rls: 2017-12-09 16:30:00,	r1: 2017-12-10 17:07:27
Skave,		rls: 2018-01-06 16:30:00,	r1: 2018-01-07 17:13:19
Arcadian,		rls: 2018-02-16 18:00:00,	r1: 2018-02-16 23:44:40
Impetuous,		rls: 2018-03-16 18:58:00,	r1: 2018-03-17 05:29:55
Flux 2,		rls: 2018-03-21 18:00:00,	r1: 2018-03-22 16:24:06
Stellar,		rls: 2018-06-23 16:30:00,	r1: 2018-06-23 17:28:11
Synesthesia,		rls: 2018-07-04 18:00:00,	r1: 2018-07-05 17:24:26
Nincorn,		rls: 2018-07-22 16:30:00,	r1: 2018-07-23 07:04:39
Jazz Hands 2,		rls: 2018-07-29 16:01:00,	r1: 2018-07-30 19:18:08
Run Free,		rls: 2018-08-15 16:30:00,	r1: 2018-08-15 21:39:45
Blue,		rls: 2018-08-29 16:30:00,	r1: 2018-08-30 00:02:21
Rush Clouds,		rls: 2018-09-26 18:00:00,	r1: 2018-09-27 15:24:13
Stop Over 2.0,		rls: 2018-10-06 16:30:00,	r1: 2018-10-06 17:43:03
Loopie,		rls: 2018-10-12 18:00:00,	r1: 2018-10-13 09:26:26
Tiji,		rls: 2018-12-15 16:28:00,	r1: 2018-12-16 11:58:53
Samsara V,		rls: 2018-12-20 17:58:00,	r1: 2018-12-21 13:34:42
Double Dragin,		rls: 2018-12-27 14:58:00,	r1: 2018-12-27 17:19:26
Ultranova,		rls: 2019-02-23 17:00:00,	r1: 2019-02-23 22:35:40
Alaska,		rls: 2019-07-10 18:13:00,	r1: 2019-07-10 20:00:58
Pace,		rls: 2019-07-17 18:00:00,	r1: 2019-07-17 19:55:57
Stacked,		rls: 2019-07-24 18:00:00,	r1: 2019-07-25 17:02:44
Cequals3,		rls: 2019-08-05 18:00:00,	r1: 2019-08-06 08:23:24
Vesper,		rls: 2019-08-24 15:30:00,	r1: 2019-08-25 19:52:34
garden,		rls: 2019-09-14 18:00:00,	r1: 2019-09-15 16:26:40
Redefined,		rls: 2019-09-21 18:00:00,	r1: 2019-09-22 15:53:52
balega,		rls: 2019-09-27 19:00:00,	r1: 2019-09-28 09:05:44
milk,		rls: 2019-10-26 18:00:00,	r1: 2019-10-27 00:56:42
SpoopyDrag,		rls: 2019-10-31 18:10:00,	r1: 2019-10-31 20:54:16
Yun Gu 2,		rls: 2019-11-21 15:00:00,	r1: 2019-11-22 15:45:25
w3na,		rls: 2019-12-08 20:00:00,	r1: 2019-12-08 22:54:53
Kovcheg,		rls: 2019-12-28 20:00:00,	r1: 2019-12-28 22:32:37
LearnToPlay,		rls: 2020-01-03 15:00:00,	r1: 2020-01-03 20:20:23
Rest to Die,		rls: 2020-01-19 18:00:00,	r1: 2020-01-19 23:22:53

Wrong! !!! r1 < rls date!!!
Fall & Rise,		rls: 2015-07-29 17:51:00,	r1: 2015-07-29 14:02:00
