Maps with the largest absolute difference between 1st and 2nd team ranks
No. map, 1st result - 2nd result, absolute difference, difference between normalized (z-score) 1st and 2nd results
1. Stereotype 2 - 2779.52, 11264.50, 8484.98, 2.000000
2. Generic World - 3613.76, 11728.70, 8114.94, 1.023143
3. Genericore 8 - 2654.86, 7365.52, 4710.66, 1.754053
4. Adrenaline 4.2 - 2505.02, 6514.94, 4009.92, 1.461948
5. LichKing - 4407.18, 8303.52, 3896.34, 0.418408
6. Adrenaline 4 - 16147.00, 19860.00, 3713.00, 1.040996
7. Adrenaline 5 - 2301.18, 5376.26, 3075.08, 1.937820
8. Tatooine 2 - 6198.70, 8908.50, 2709.80, 0.644253
9. 4u - 15755.40, 18384.80, 2629.40, 2.000000
10. Springlobe 3 - 10499.80, 13069.30, 2569.50, 0.257970
11. Atomic - 2364.16, 4906.36, 2542.20, 1.405657
12. Stereotype 3 - 3669.32, 6197.22, 2527.90, 2.000000
13. Ultranova - 1932.98, 4140.06, 2207.08, 1.929883
14. Victory 3 - 348.68, 2388.96, 2040.28, 1.542562
15. Striped Clouds - 2910.06, 4930.38, 2020.32, 0.404729
16. Eclipsis - 1402.18, 3211.72, 1809.54, 0.724995
17. Back in the sky - 3435.88, 5234.04, 1798.16, 1.546151
18. Stereotype 5 - 4079.80, 5859.96, 1780.16, 1.996784
19. Stereotype 4 - 4382.44, 5937.58, 1555.14, 0.947431
20. Aimazing - 1602.72, 3133.84, 1531.12, 0.514384
21. Between the Heavens - 2143.18, 3552.72, 1409.54, 0.959112
22. Not Adrenaline 6 - 984.18, 2379.14, 1394.96, 1.403845
23. Inception - 1925.56, 3264.84, 1339.28, 0.817901
24. Adrenaline 3 - 2289.46, 3599.80, 1310.34, 0.694572
25. Hardstyle 3 - 811.64, 2094.00, 1282.36, 0.763529
26. Mystical Island - 1526.16, 2793.94, 1267.78, 0.801637
27. -JustDoIt- - 901.80, 2061.00, 1159.20, 0.562950
28. whitehell - 1764.38, 2875.30, 1110.92, 0.513608
29. Elitist - 601.56, 1698.96, 1097.40, 0.594163
30. Blue - 1332.20, 2384.16, 1051.96, 1.078376
31. LowPossibility3.1 - 1273.52, 2307.98, 1034.46, 0.322443
32. Falling Down - 1859.88, 2843.22, 983.34, 0.240505
33. The Way to the Hell - 774.38, 1755.32, 980.94, 0.272290
34. Valley - 1445.86, 2416.92, 971.06, 0.928695
35. 4q - 2141.42, 3084.60, 943.18, 0.321005
36. Genericore 3 - 663.42, 1600.62, 937.20, 0.827665
37. Back in Time 2 - 2736.34, 3663.36, 927.02, 0.327113
38. Springlobe 2 - 1856.28, 2715.26, 858.98, 0.440248
39. Therapy - 2411.40, 3258.64, 847.24, 0.335951
40. Justice - 1316.82, 2162.18, 845.36, 0.158772
41. City of Death - 1183.66, 2011.48, 827.82, 0.807362
42. Nightmare - 1299.82, 2122.00, 822.18, 0.631667
43. Enchanted - 2121.08, 2936.72, 815.64, 0.558651
44. Lost 2 - 1453.24, 2261.40, 808.16, 0.674355
45. Interlude 2 - 1412.68, 2194.16, 781.48, 0.662863
46. Divergence - 1702.56, 2477.18, 774.62, 0.421237
47. Rockstar - 2504.00, 3267.36, 763.36, 0.206731
48. Lost Story 2 - 816.24, 1523.28, 707.04, 0.635107
49. Beachmap - 1280.16, 1984.38, 704.22, 0.438611
50. MonkeyStyle - 1333.72, 2005.00, 671.28, 0.211185
51. At Night 2 - 1619.18, 2285.62, 666.44, 0.470939
