Maps with the largest relative difference between 1st and 2nd team ranks (using z-score normalization)
No. map, 1st result - 2nd result, absolute difference, difference between normalized (z-score) 1st and 2nd results
[X, -1, -1, 2.01] shows maps with only 1 team finish; [.., .., .., 2.00] shows maps with 2 team finishes
1. Samsara V - 3444.42, -1.00, -1.00, 2.010000
2. run_g6 - 13.62, -1.00, -1.00, 2.010000
3. Stereotype 2 - 2779.52, 11264.50, 8484.98, 2.000000
4. 4u - 15755.40, 18384.80, 2629.40, 2.000000
5. Nether - 2526.88, 2705.10, 178.22, 2.000000
6. Stereotype 3 - 3669.32, 6197.22, 2527.90, 2.000000
7. Stereotype 5 - 4079.80, 5859.96, 1780.16, 1.996784
8. Adrenaline 5 - 2301.18, 5376.26, 3075.08, 1.937820
9. Ultranova - 1932.98, 4140.06, 2207.08, 1.929883
10. Grim Reaper - 1213.94, 1778.28, 564.34, 1.839266
11. Genericore 8 - 2654.86, 7365.52, 4710.66, 1.754053
12. Back in the sky - 3435.88, 5234.04, 1798.16, 1.546151
13. Victory 3 - 348.68, 2388.96, 2040.28, 1.542562
14. Adrenaline 4.2 - 2505.02, 6514.94, 4009.92, 1.461948
15. Atomic - 2364.16, 4906.36, 2542.20, 1.405657
16. Not Adrenaline 6 - 984.18, 2379.14, 1394.96, 1.403845
17. First Try - 109.52, 241.76, 132.24, 1.212739
18. Blue - 1332.20, 2384.16, 1051.96, 1.078376
19. Adrenaline 4 - 16147.00, 19860.00, 3713.00, 1.040996
20. Generic World - 3613.76, 11728.70, 8114.94, 1.023143
21. Between the Heavens - 2143.18, 3552.72, 1409.54, 0.959112
22. Stereotype 4 - 4382.44, 5937.58, 1555.14, 0.947431
23. Valley - 1445.86, 2416.92, 971.06, 0.928695
24. Airsky - 196.96, 264.82, 67.86, 0.884213
25. Genericore 3 - 663.42, 1600.62, 937.20, 0.827665
26. Inception - 1925.56, 3264.84, 1339.28, 0.817901
27. City of Death - 1183.66, 2011.48, 827.82, 0.807362
28. Mystical Island - 1526.16, 2793.94, 1267.78, 0.801637
29. Resistance - 230.36, 277.88, 47.52, 0.796381
30. Panic Paradise - 414.40, 543.56, 129.16, 0.783815
31. Hardstyle 3 - 811.64, 2094.00, 1282.36, 0.763529
32. Eclipsis - 1402.18, 3211.72, 1809.54, 0.724995
33. StrangeNight - 318.94, 643.90, 324.96, 0.723966
34. Adrenaline 3 - 2289.46, 3599.80, 1310.34, 0.694572
35. Regen - 910.98, 1541.80, 630.82, 0.689839
36. Lost 2 - 1453.24, 2261.40, 808.16, 0.674355
37. Rampage - 570.54, 1129.92, 559.38, 0.673088
38. Interlude 2 - 1412.68, 2194.16, 781.48, 0.662863
39. Firestone - 283.82, 480.38, 196.56, 0.662856
40. Tatooine 2 - 6198.70, 8908.50, 2709.80, 0.644253
41. Lost Story 2 - 816.24, 1523.28, 707.04, 0.635107
42. Nightmare - 1299.82, 2122.00, 822.18, 0.631667
43. Adrenaline 4.1 - 3057.54, 3719.48, 661.94, 0.607652
44. In Da House - 790.18, 1448.14, 657.96, 0.607624
45. Zadrotos 4 - 701.14, 1352.36, 651.22, 0.596324
46. Elitist - 601.56, 1698.96, 1097.40, 0.594163
47. -JustDoIt- - 901.80, 2061.00, 1159.20, 0.562950
48. Enchanted - 2121.08, 2936.72, 815.64, 0.558651
49. Stereotype 1 - 1066.32, 1453.78, 387.46, 0.533593
50. Don't Panic - 827.48, 1398.16, 570.68, 0.530812
51. Aimazing - 1602.72, 3133.84, 1531.12, 0.514384
52. whitehell - 1764.38, 2875.30, 1110.92, 0.513608
53. Looney [Extreme] - 148.20, 181.56, 33.36, 0.492963
54. Zadrotos_final - 2579.54, 2984.64, 405.10, 0.490836
55. The Joke 3 - 1017.38, 1681.76, 664.38, 0.480906
56. superway - 1759.30, 2353.78, 594.48, 0.480072
57. DreamWorld - 796.98, 1206.90, 409.92, 0.474103
58. At Night 2 - 1619.18, 2285.62, 666.44, 0.470939
59. Ton - 420.98, 571.24, 150.26, 0.469497
60. Hostile 2 - 213.34, 228.14, 14.80, 0.442033
61. Springlobe 2 - 1856.28, 2715.26, 858.98, 0.440248
62. Beachmap - 1280.16, 1984.38, 704.22, 0.438611
63. Apathy - 1364.72, 1969.98, 605.26, 0.437025
64. The Ultimate Rainbow - 259.66, 532.34, 272.68, 0.434681
65. Analyzer - 700.66, 975.38, 274.72, 0.428190
66. Michler - 1017.56, 1256.86, 239.30, 0.426481
67. Divergence - 1702.56, 2477.18, 774.62, 0.421237
68. LichKing - 4407.18, 8303.52, 3896.34, 0.418408
69. Striped Clouds - 2910.06, 4930.38, 2020.32, 0.404729
70. complic - 267.20, 413.76, 146.56, 0.402923
71. Notice 1 - 523.48, 722.22, 198.74, 0.390729
72. Generic Fly - 146.04, 174.02, 27.98, 0.387995
73. Infinity - 992.40, 1489.54, 497.14, 0.387948
74. Victory 2 - 585.66, 1187.50, 601.84, 0.381657
75. DeadCore 3 - 1309.70, 1754.38, 444.68, 0.360484
76. Commandont - 217.50, 244.98, 27.48, 0.356679
77. The Joke 2 - 864.48, 1298.90, 434.42, 0.346340
78. Yoko 4.1 - 958.14, 1227.56, 269.42, 0.337966
79. Triple Kill - 1965.80, 2237.76, 271.96, 0.337965
80. Sabell - 558.86, 742.38, 183.52, 0.337765
81. Therapy - 2411.40, 3258.64, 847.24, 0.335951
82. Last Chance - 819.88, 1474.20, 654.32, 0.335038
83. Back in Time 2 - 2736.34, 3663.36, 927.02, 0.327113
84. Qwertz - 472.84, 566.62, 93.78, 0.326721
85. DeadCore 2 - 891.94, 1407.90, 515.96, 0.324258
86. LowPossibility3.1 - 1273.52, 2307.98, 1034.46, 0.322443
87. 4q - 2141.42, 3084.60, 943.18, 0.321005
88. Back in the days - 864.60, 1129.94, 265.34, 0.319426
89. Nyanpasu - 477.44, 816.52, 339.08, 0.307021
90. Victory 5 - 1116.98, 1440.50, 323.52, 0.305345
91. Journey Man 2 - 3234.48, 3883.72, 649.24, 0.305151
92. Paranormal - 952.86, 1232.96, 280.10, 0.305030
93. Epinephrine - 307.36, 348.26, 40.90, 0.301831
94. Sacred Source - 110.18, 128.32, 18.14, 0.298831
95. Back in the days 3 - 1951.64, 2380.46, 428.82, 0.298745
96. Natura - 1079.48, 1415.92, 336.44, 0.297471
97. Frats 5 - 455.40, 604.88, 149.48, 0.294763
98. TheWalkingDead - 962.40, 1278.04, 315.64, 0.293475
99. Interlude - 2769.74, 3221.28, 451.54, 0.292775
100. Endgame - 584.40, 831.66, 247.26, 0.290024
101. Tropical Island - 1162.60, 1629.22, 466.62, 0.289065
102. Skyfly - 338.72, 483.78, 145.06, 0.286723
103. Zadrotos 5 - 2370.72, 2811.20, 440.48, 0.281993
104. Mystic River - 772.52, 1062.60, 290.08, 0.280536
105. Zadrotos 1 - 450.32, 585.26, 134.94, 0.276349
106. Red Japan - 441.10, 610.70, 169.60, 0.273968
107. The Way to the Hell - 774.38, 1755.32, 980.94, 0.272290
