Maps with the least absolute difference between 1st and 2nd team ranks
No. map, 1st result - 2nd result, absolute difference, difference between normalized (z-score) 1st and 2nd results
1. run_g6 - 13.62, -1.00, -1.00, 2.010000
2. Samsara V - 3444.42, -1.00, -1.00, 2.010000
3. NUT_short_race6 - 1.98, 1.98, 0.00, 0.000000
4. Skillz 2 - 152.86, 152.90, 0.04, 0.000083
5. Against the Current - 147.40, 147.44, 0.04, 0.000205
6. luminati - 79.44, 79.48, 0.04, 0.000049
7. Stronghold - 320.44, 320.52, 0.08, 0.000167
8. DarkCore 1 - 203.48, 203.64, 0.16, 0.000140
9. Just Fly 2 - 73.78, 73.96, 0.18, 0.000330
10. TeeWorld - 95.96, 96.16, 0.20, 0.000697
11. Grey 4 - 68.08, 68.32, 0.24, 0.002456
12. Impulse_03 - 38.94, 39.18, 0.24, 0.002744
13. DarkCore 2 - 342.24, 342.48, 0.24, 0.000305
14. Maui Wowie 2 - 84.74, 84.98, 0.24, 0.001426
15. Hop - 22.66, 22.92, 0.26, 0.004597
16. Impulse_01 - 27.86, 28.12, 0.26, 0.002833
17. NUT_short_race7 - 4.30, 4.58, 0.28, 0.046845
18. DaMap - 251.54, 251.82, 0.28, 0.000787
19. CYO - 21.00, 21.28, 0.28, 0.006524
20. Vizur - 153.30, 153.60, 0.30, 0.000587
21. Koule 3 - 68.56, 68.86, 0.30, 0.000671
22. Hardstyle 2 - 282.66, 283.02, 0.36, 0.000477
23. Orange 1 - 179.18, 179.54, 0.36, 0.001406
24. GlassBox 5 - 94.98, 95.34, 0.36, 0.002846
25. Impulse_02 - 26.16, 26.52, 0.36, 0.006787
26. 4Nubs - 93.28, 93.66, 0.38, 0.001421
27. Bixnet - 378.72, 379.14, 0.42, 0.000551
28. Koule 2 - 35.58, 36.02, 0.44, 0.002560
29. Limitless - 261.04, 261.52, 0.48, 0.000821
30. Death Valley - 369.86, 370.36, 0.50, 0.000907
31. Halloween Night - 86.02, 86.52, 0.50, 0.002492
32. Sopella - 164.22, 164.76, 0.54, 0.001574
33. Dry Valley - 869.32, 869.96, 0.64, 0.000178
34. [SI] DANICA - 87.14, 87.80, 0.66, 0.000903
35. GlassBox 4 - 62.24, 62.94, 0.70, 0.009668
36. SimplePlay 3 - 44.78, 45.48, 0.70, 0.010114
37. Easy 1 - 97.12, 97.84, 0.72, 0.002066
38. GlassBox 2 - 94.22, 95.08, 0.86, 0.007023
39. Kobra 2 - 532.48, 533.36, 0.88, 0.001109
40. Absurd 2 - 193.04, 193.92, 0.88, 0.002151
41. NUT_race2 - 176.78, 177.66, 0.88, 0.003851
42. Petrified - 163.14, 164.06, 0.92, 0.004441
43. Lowcore - 79.86, 80.80, 0.94, 0.012073
44. Etna_1 - 203.96, 204.96, 1.00, 0.001213
45. Intense 1.0 - 125.40, 126.48, 1.08, 0.002725
46. Gold Mine - 47.06, 48.14, 1.08, 0.005236
47. Dels 2 - 184.30, 185.40, 1.10, 0.003009
48. Hook Fever - 156.62, 157.72, 1.10, 0.005063
49. NUT_short_race1 - 11.22, 12.34, 1.12, 0.003296
50. NUT_race9 - 89.80, 90.96, 1.16, 0.007812
51. Hostile - 148.70, 149.92, 1.22, 0.013859
52. Next Grey - 294.76, 296.00, 1.24, 0.001250
53. HookThrough3 - 102.30, 103.54, 1.24, 0.001583
54. Tropica - 647.16, 648.40, 1.24, 0.001268
55. Careless - 64.64, 65.90, 1.26, 0.007658
56. nemesis - 1517.38, 1518.66, 1.28, 0.001191
57. lumine - 94.00, 95.28, 1.28, 0.000736
58. Plaza - 270.72, 272.04, 1.32, 0.000637
59. Grey 3 - 46.10, 47.42, 1.32, 0.015827
60. Pathway 3 - 49.86, 51.18, 1.32, 0.025689
61. Pizza - 349.24, 350.60, 1.36, 0.002181
62. BackToBasics - 240.44, 241.82, 1.38, 0.002033
63. brainbase - 351.42, 352.82, 1.40, 0.002402
64. Barren - 135.50, 136.98, 1.48, 0.000490
65. Pathway 4 - 63.04, 64.56, 1.52, 0.017480
66. Top 1 - 110.34, 111.92, 1.58, 0.006767
67. Awayst - 364.76, 366.38, 1.62, 0.002761
68. Cool - 106.74, 108.38, 1.64, 0.005624
69. Koule 5 - 124.10, 125.76, 1.66, 0.004757
70. GlassBox - 69.34, 71.02, 1.68, 0.010491
71. Tiny Tandem - 127.80, 129.56, 1.76, 0.005189
72. Yun Gu - 183.62, 185.40, 1.78, 0.001096
73. Executive - 120.06, 121.86, 1.80, 0.001075
74. skynet1 - 115.32, 117.12, 1.80, 0.014989
75. Heroic - 188.72, 190.54, 1.82, 0.006633
76. Grey 2 - 70.78, 72.66, 1.88, 0.013016
77. Halloween - 519.26, 521.16, 1.90, 0.002862
78. 4luvz - 101.16, 103.06, 1.90, 0.009990
79. Dream 1 V2 - 581.04, 582.94, 1.90, 0.002950
80. skynet4 - 134.88, 136.84, 1.96, 0.012104
81. Plan A - 563.64, 565.64, 2.00, 0.002191
82. Speedfly - 233.22, 235.24, 2.02, 0.003960
83. allthewayup - 527.00, 529.04, 2.04, 0.001999
84. The Problem - 285.86, 287.92, 2.06, 0.002095
