Maps with the least relative difference between 1st and 2nd team ranks (using z-score normalization)
No. map, 1st result - 2nd result, absolute difference, difference between normalized (z-score) 1st and 2nd results
[X, -1, -1, 2.01] shows maps with only 1 team finish; [.., .., .., 2.00] shows maps with 2 team finishes
1. NUT_short_race6 - 1.98, 1.98, 0.00, 0.000000
2. luminati - 79.44, 79.48, 0.04, 0.000049
3. Skillz 2 - 152.86, 152.90, 0.04, 0.000083
4. DarkCore 1 - 203.48, 203.64, 0.16, 0.000140
5. Stronghold - 320.44, 320.52, 0.08, 0.000167
6. Dry Valley - 869.32, 869.96, 0.64, 0.000178
7. Against the Current - 147.40, 147.44, 0.04, 0.000205
8. DarkCore 2 - 342.24, 342.48, 0.24, 0.000305
9. Just Fly 2 - 73.78, 73.96, 0.18, 0.000330
10. Hardstyle 2 - 282.66, 283.02, 0.36, 0.000477
11. Barren - 135.50, 136.98, 1.48, 0.000490
12. Bixnet - 378.72, 379.14, 0.42, 0.000551
13. Vizur - 153.30, 153.60, 0.30, 0.000587
14. Milthrid Core - 521.36, 524.08, 2.72, 0.000633
15. Plaza - 270.72, 272.04, 1.32, 0.000637
16. Koule 3 - 68.56, 68.86, 0.30, 0.000671
17. TeeWorld - 95.96, 96.16, 0.20, 0.000697
18. lumine - 94.00, 95.28, 1.28, 0.000736
19. DaMap - 251.54, 251.82, 0.28, 0.000787
20. Limitless - 261.04, 261.52, 0.48, 0.000821
21. [SI] DANICA - 87.14, 87.80, 0.66, 0.000903
22. Death Valley - 369.86, 370.36, 0.50, 0.000907
23. Nucl - 417.22, 420.18, 2.96, 0.000925
24. Yun Gu 2 - 417.22, 420.10, 2.88, 0.001014
25. Executive - 120.06, 121.86, 1.80, 0.001075
26. Yun Gu - 183.62, 185.40, 1.78, 0.001096
27. Kobra 2 - 532.48, 533.36, 0.88, 0.001109
28. nemesis - 1517.38, 1518.66, 1.28, 0.001191
29. Etna_1 - 203.96, 204.96, 1.00, 0.001213
30. Next Grey - 294.76, 296.00, 1.24, 0.001250
31. Tropica - 647.16, 648.40, 1.24, 0.001268
32. Orange 1 - 179.18, 179.54, 0.36, 0.001406
33. 4Nubs - 93.28, 93.66, 0.38, 0.001421
34. Maui Wowie 2 - 84.74, 84.98, 0.24, 0.001426
35. Naufrage 2 - 842.88, 845.24, 2.36, 0.001465
36. Sopella - 164.22, 164.76, 0.54, 0.001574
37. HookThrough3 - 102.30, 103.54, 1.24, 0.001583
38. Difficult 1.2 - 793.80, 797.16, 3.36, 0.001712
39. allthewayup - 527.00, 529.04, 2.04, 0.001999
40. BackToBasics - 240.44, 241.82, 1.38, 0.002033
41. Easy 1 - 97.12, 97.84, 0.72, 0.002066
42. MicCore - 696.40, 699.26, 2.86, 0.002081
43. The Problem - 285.86, 287.92, 2.06, 0.002095
44. Absurd 2 - 193.04, 193.92, 0.88, 0.002151
45. Just Rocketfly 2 - 156.88, 162.64, 5.76, 0.002154
46. Boo! - 423.96, 427.02, 3.06, 0.002179
47. Pizza - 349.24, 350.60, 1.36, 0.002181
48. Plan A - 563.64, 565.64, 2.00, 0.002191
49. Kobra 4 - 773.36, 775.70, 2.34, 0.002211
50. HellGate X - 1124.20, 1127.50, 3.30, 0.002384
51. brainbase - 351.42, 352.82, 1.40, 0.002402
52. Grey 4 - 68.08, 68.32, 0.24, 0.002456
53. Halloween Night - 86.02, 86.52, 0.50, 0.002492
54. Drag-House2 - 330.88, 335.86, 4.98, 0.002507
55. Koule 2 - 35.58, 36.02, 0.44, 0.002560
56. FWYS 3 - 721.68, 724.88, 3.20, 0.002612
57. MonkeyDream 3 - 678.72, 681.26, 2.54, 0.002654
58. JustCopyFly - 107.98, 110.24, 2.26, 0.002684
59. Intense 1.0 - 125.40, 126.48, 1.08, 0.002725
60. Impulse_03 - 38.94, 39.18, 0.24, 0.002744
61. Awayst - 364.76, 366.38, 1.62, 0.002761
62. The Rapture - 1428.14, 1441.36, 13.22, 0.002762
63. Impulse_01 - 27.86, 28.12, 0.26, 0.002833
64. GlassBox 5 - 94.98, 95.34, 0.36, 0.002846
65. Halloween - 519.26, 521.16, 1.90, 0.002862
66. Dream 1 V2 - 581.04, 582.94, 1.90, 0.002950
67. Dels 2 - 184.30, 185.40, 1.10, 0.003009
68. Aim 8.0 - 815.80, 822.36, 6.56, 0.003206
69. NUT_short_race1 - 11.22, 12.34, 1.12, 0.003296
70. SunDay 3 - 1119.58, 1127.38, 7.80, 0.003361
71. Slow Santa - 871.62, 873.82, 2.20, 0.003472
72. Vizur 2 - 200.06, 202.26, 2.20, 0.003705
73. NUT_race2 - 176.78, 177.66, 0.88, 0.003851
74. HardcoreZ - 1407.60, 1417.10, 9.50, 0.003938
75. Speedfly - 233.22, 235.24, 2.02, 0.003960
76. Brick World - 222.86, 233.06, 10.20, 0.004037
77. Piranha - 552.50, 555.84, 3.34, 0.004158
78. aled II - 109.20, 118.94, 9.74, 0.004366
79. Petrified - 163.14, 164.06, 0.92, 0.004441
80. Purple Panic - 317.06, 321.72, 4.66, 0.004480
81. Impossible 1 - 126.86, 129.96, 3.10, 0.004527
82. Picklock - 1070.66, 1080.96, 10.30, 0.004596
83. Hop - 22.66, 22.92, 0.26, 0.004597
84. Disco - 636.10, 641.74, 5.64, 0.004673
85. Top 2 - 497.16, 499.30, 2.14, 0.004691
86. Koule 5 - 124.10, 125.76, 1.66, 0.004757
87. SkyLand2 - 486.26, 491.20, 4.94, 0.004771
88. Miper 5 - 610.52, 614.16, 3.64, 0.004809
89. Topsy Turvy - 596.24, 610.24, 14.00, 0.005048
90. ZeroX - 249.60, 252.34, 2.74, 0.005051
91. Hook Fever - 156.62, 157.72, 1.10, 0.005063
92. Skave - 472.34, 478.10, 5.76, 0.005105
93. Tiny Tandem - 127.80, 129.56, 1.76, 0.005189
94. Plan B - 403.50, 406.04, 2.54, 0.005212
95. Gold Mine - 47.06, 48.14, 1.08, 0.005236
96. Climax - 616.58, 623.06, 6.48, 0.005242
97. lovely me2 - 647.26, 652.10, 4.84, 0.005422
98. Fishbone - 387.42, 390.12, 2.70, 0.005432
99. Just Fly 1 - 63.04, 65.80, 2.76, 0.005436
100. DaFuQ - 215.68, 217.94, 2.26, 0.005603
101. Cool - 106.74, 108.38, 1.64, 0.005624
102. Empire Desp - 304.04, 307.64, 3.60, 0.005691
103. Sadway - 1775.54, 1781.46, 5.92, 0.005737
104. Cold Jungle - 268.76, 272.36, 3.60, 0.005890
105. Hardcore 2 - 284.76, 286.92, 2.16, 0.005947
106. Dry Lagoon - 336.14, 339.54, 3.40, 0.006044
107. Hookthrough - 113.42, 117.00, 3.58, 0.006085
108. Ultimatum 1 - 322.40, 325.82, 3.42, 0.006149
109. Dark Moon - 327.18, 330.32, 3.14, 0.006207
110. Death Sentence 2 - 692.58, 700.72, 8.14, 0.006305
111. Hoo! - 117.98, 120.46, 2.48, 0.006362
112. Mount - 214.58, 217.80, 3.22, 0.006399
113. lost_castle - 308.76, 314.46, 5.70, 0.006493
114. CYO - 21.00, 21.28, 0.28, 0.006524
115. Heroic - 188.72, 190.54, 1.82, 0.006633
116. Cemetery - 227.34, 229.54, 2.20, 0.006666
117. Top 1 - 110.34, 111.92, 1.58, 0.006767
118. Naufrage - 785.56, 796.80, 11.24, 0.006768
119. Impulse_02 - 26.16, 26.52, 0.36, 0.006787
120. MiddleFinger - 444.04, 448.56, 4.52, 0.006912
121. Ultimatum 2 - 150.56, 152.90, 2.34, 0.006949
122. Totoro - 300.88, 303.62, 2.74, 0.006974
123. Love 0.6 - 112.92, 115.00, 2.08, 0.006979
124. GlassBox 2 - 94.22, 95.08, 0.86, 0.007023
125. Camouflage - 93.88, 96.60, 2.72, 0.007043
126. Sleepy 2 - 686.14, 692.66, 6.52, 0.007187
127. Absurd 4 - 232.40, 239.54, 7.14, 0.007246
128. S-Race 2 - 167.12, 173.16, 6.04, 0.007264
129. Offpanic - 461.84, 482.34, 20.50, 0.007274
130. AiP-Gores - 115.04, 117.18, 2.14, 0.007580
131. Careless - 64.64, 65.90, 1.26, 0.007658
132. DeathHook - 223.86, 227.88, 4.02, 0.007671
133. Multimap - 490.28, 499.02, 8.74, 0.007707
134. Just Hookfly 2 - 33.42, 40.84, 7.42, 0.007709
135. Unbalanced - 134.12, 153.42, 19.30, 0.007713
136. NUT_race9 - 89.80, 90.96, 1.16, 0.007812
137. HDP_Zinderencio - 47.50, 54.76, 7.26, 0.007847
138. Aim 6.0 - 763.40, 778.60, 15.20, 0.007912
139. Red Hell - 994.28, 1004.94, 10.66, 0.008023
140. Mines of Fear - 621.58, 628.46, 6.88, 0.008050
141. Seagulls - 417.22, 422.22, 5.00, 0.008112
142. Mirage - 146.90, 149.48, 2.58, 0.008163
143. NUT_hardcore_race3 - 118.26, 121.04, 2.78, 0.008173
144. Cocaine - 510.18, 516.12, 5.94, 0.008308
145. Easy Edge - 137.20, 144.68, 7.48, 0.008316
146. Hookthrough 2 - 135.70, 143.00, 7.30, 0.008415
147. Paradise - 139.92, 148.02, 8.10, 0.008475
148. Skill Rises - 1341.92, 1361.08, 19.16, 0.008513
149. Just Rocketfly 1 - 110.62, 127.52, 16.90, 0.008595
150. Im No Superman 1 - 215.44, 222.92, 7.48, 0.008615
