Map: Time, Date
Difficult 1.3:	738.3,	2013-10-08 17:55:04
superway:	1759.3,	2013-10-21 04:47:16
SpaceIsKey:	176.26,	2013-11-22 00:39:50
The Cursed Night:	2376.06,	2014-04-09 20:55:25
DeathClaw:	1623.2,	2014-05-12 16:33:23
Orange 1:	109.06,	2014-07-21 04:24:12
The Problem:	222.66,	2014-07-27 17:45:04
WEEDS:	182.9,	2014-07-27 22:07:39
Purple Panic 2:	338.72,	2014-08-20 18:51:29
Koule 5:	103.56,	2014-08-21 16:04:26
leopold:	128.18,	2014-12-13 13:17:14
Rayquaza:	637.5,	2014-12-14 18:05:23
Top 2:	497.16,	2014-12-16 17:14:21
Escape:	47.84,	2014-12-17 17:21:08
Peaceful Jungle 2:	579.94,	2014-12-30 15:27:06
Nirvana:	1709.5,	2015-01-07 14:28:34
Gold Mine:	32.2,	2015-03-08 01:27:15
Day One:	624.52,	2015-03-15 20:02:03
Justix:	332.7,	2015-03-21 00:00:13
UpNDown:	118.32,	2015-04-06 02:24:22
NUT Hardcore UNITED:	1935.6,	2015-04-20 01:41:32
JustCopyFly:	107.98,	2015-04-24 19:06:22
Strike:	92.78,	2015-04-25 12:57:52
Winter Is Coming:	2161.46,	2015-05-23 01:44:11
skynet10:	687.62,	2015-06-06 18:15:29
skynet2:	176.66,	2015-06-06 18:58:15
skynet7:	124.72,	2015-06-13 21:23:45
Troj:	628.14,	2015-06-22 12:50:45
Killstreak 1:	50.5,	2015-06-23 00:44:42
IronFlight:	756.96,	2015-07-21 21:54:09
Houll:	311.04,	2015-07-23 01:25:31
Fresh:	265.12,	2015-07-25 20:48:23
Fall & Rise:	495.3,	2015-07-29 14:02:00
Adrenaline 3:	2289.46,	2015-07-30 06:05:44
Enchanted:	2121.08,	2015-08-03 22:26:01
Kobra 3:	772.12,	2015-08-15 02:46:22
Xolla:	356.5,	2015-08-20 00:09:49
Eternal:	592.8,	2015-09-04 00:08:40
Xabier:	398.62,	2015-09-06 00:40:05
Dawn To Dusk:	561.32,	2015-09-10 02:45:19
Day Two:	287.52,	2015-09-11 20:50:44
Sunreal:	107.12,	2015-09-23 16:21:56
Push him:	142.12,	2015-10-03 14:49:28
himmel:	347.66,	2015-10-10 23:19:57
Fantabob:	500.82,	2015-10-16 23:57:45
Thomas:	40.66,	2015-11-07 06:25:28
4Nubs:	76.9,	2015-11-25 03:52:56
The Way to the Hell:	774.38,	2015-12-05 03:14:25
Amor 2:	608.78,	2015-12-20 01:22:55
Absurd 1:	134.24,	2015-12-21 22:39:30
DARKness 1:	150.34,	2016-01-04 06:40:48
Kobra:	665.62,	2016-01-06 00:48:54
S-Race 1:	111.06,	2016-01-07 07:30:43
Cold Jungle:	268.76,	2016-01-10 22:01:31
Hardcore 7:	500.92,	2016-01-15 02:27:07
Explosive:	468.22,	2016-01-23 06:54:18
Arabic Night:	70.8,	2016-01-30 21:28:40
Gedan:	65.92,	2016-02-02 14:11:32
Impossible 3:	62.86,	2016-02-04 03:42:56
Impossible 2:	121.9,	2016-02-04 05:07:29
Eternal 2:	908.78,	2016-02-12 02:44:56
Noo!:	459.86,	2016-02-15 04:11:07
Reality:	270.54,	2016-02-24 05:38:42
Halloween Night:	66.26,	2016-02-28 10:42:14
UpNDown2:	162.94,	2016-03-02 20:11:33
NUT_race7:	215.04,	2016-03-20 01:36:40
Between the Heavens:	2143.18,	2016-03-21 21:20:17
NUT_short_race2:	7.68,	2016-03-24 21:41:02
Sunlight:	92.56,	2016-03-26 21:56:21
Lykeion:	188.0,	2016-04-07 01:38:58
Conscientious:	299.82,	2016-04-10 00:15:18
Take it noobly:	42.86,	2016-04-10 22:01:43
HDP_Obstaculos:	704.68,	2016-04-14 19:58:44
NUT_short_race3:	9.32,	2016-04-17 21:57:51
Yoko 2.1:	62.04,	2016-04-29 04:25:11
experiment:	206.28,	2016-05-03 05:49:36
Madness 2:	47.5,	2016-05-04 04:28:29
NUT_race3:	55.86,	2016-05-06 14:36:15
deathpack:	26.76,	2016-05-06 23:39:03
Climax:	616.58,	2016-05-12 22:32:02
Noovice!:	605.88,	2016-05-15 21:58:18
Jajka:	898.94,	2016-05-18 00:03:12
SunDay 2:	1212.14,	2016-05-22 22:33:30
Reload 1:	164.12,	2016-05-24 00:44:31
Fly Around:	365.04,	2016-05-28 07:00:20
Elitissimo:	322.56,	2016-05-30 12:02:51
Aftermath:	301.64,	2016-06-09 14:59:29
GlassBox 3:	81.46,	2016-06-10 04:13:02
Careless:	30.34,	2016-06-10 04:24:25
skynet3:	149.78,	2016-06-12 18:23:28
Universe:	634.1,	2016-06-12 18:40:07
Dead Darkness:	132.24,	2016-06-13 02:39:23
lovely me2:	647.26,	2016-06-13 04:02:54
Hardcore 4:	351.9,	2016-06-14 18:45:32
Genesis-2:	276.92,	2016-06-25 14:52:46
Ice Water:	72.62,	2016-07-08 21:37:40
DreamWorld:	796.98,	2016-07-25 02:10:33
run_irish_luck:	37.2,	2016-07-25 21:30:55
Intense 3.0:	462.2,	2016-07-26 04:26:07
Handifly:	540.0,	2016-07-28 01:03:24
brainbase:	272.82,	2016-07-28 07:19:13
Cartoon:	187.22,	2016-07-30 21:21:15
EscapeTheCave:	191.16,	2016-07-31 00:21:50
NUT_short_race4:	13.34,	2016-08-04 21:35:40
NUT_hardcore_race5:	77.22,	2016-08-09 19:08:58
Joyride:	87.44,	2016-08-11 03:12:42
Zip:	273.3,	2016-08-18 16:59:18
Kaylite:	285.62,	2016-08-21 01:01:49
Elitist:	601.56,	2016-08-21 13:42:28
SkyFly:	164.84,	2016-08-22 21:44:13
Easy 1:	88.82,	2016-08-23 19:34:55
Naufrage 3:	1136.22,	2016-08-24 11:56:27
Aim 2.0:	780.12,	2016-08-24 19:23:00
Dream 2:	634.0,	2016-08-25 20:48:25
Veni Vidi Vici:	698.04,	2016-08-26 02:59:42
