Rank,Nickname,Points,DateOfPeriodStart
1,":Ram",749,"2016-08-25"
2,"Insane",543,"2017-05-26"
3,"RonIn",512,"2017-12-16"
4,"ZP|Niklas'",481,"2016-04-03"
5,"El Mohands",464,"2016-08-19"
6,"La-la-la",439,"2017-08-19"
7,"?#@",438,"2019-02-02"
8,"Linkx3",414,"2019-05-12"
9,"Kpro1000",412,"2017-05-30"
10,"Sawyn",384,"2019-05-31"
11,"Avada",372,"2018-02-10"
12,"Ruan",362,"2017-03-19"
13,"british tea",353,"2016-08-16"
14,"FFX",346,"2015-10-26"
15,"HaZeNobody",340,"2017-07-07"
16,"whoami",339,"2017-08-13"
17,"RonIn",332,"2017-12-24"
18,"Frank Castle",331,"2018-03-13"
19,"mNiA",330,"2019-01-19"
20,"missgebrot",329,"2016-05-15"
21,"?#@",324,"2019-01-31"
22,"Monochrome",319,"2017-02-17"
23,"Xop9",318,"2019-02-27"
24,"Px-seven",317,"2017-04-22"
25,"Frank Castle",310,"2018-03-12"
