Rank,Nickname,Points,DateOfPeriodStart
1,"?#@",1518,"2019-01-30"
2,"?#@",1465,"2019-01-31"
3,"Ninjed",1319,"2016-05-28"
4,"Ninjed",1298,"2016-05-27"
5,"Brokecdx-",1224,"2018-12-12"
6,"Brokecdx-",1217,"2018-12-13"
7,"Sawyn",1153,"2019-05-30"
8,"Ninjed",1150,"2016-05-26"
9,"StarkillerJr.<3",1149,"2018-04-25"
10,"?#@",1141,"2019-02-01"
11,"Ninjed",1137,"2016-05-25"
12,"Frank Castle",1113,"2018-03-11"
13,"Ninjed",1100,"2016-05-29"
14,"Frank Castle",1076,"2018-03-12"
15,"Frank Castle",1060,"2018-03-10"
16,"StarkillerJr.<3",1042,"2018-04-24"
17,"whoami",1033,"2017-08-09"
18,"whoami",1017,"2017-08-10"
19,"Brokecdx-",1016,"2018-12-14"
20,"whoami",1013,"2017-08-12"
21,"whoami",1004,"2017-08-13"
22,"StarkillerJr.<3",1000,"2018-04-26"
23,"Sawyn",998,"2019-05-31"
24,"Brokecdx-",997,"2018-12-10"
25,"whoami",987,"2017-08-11"
26,"?#@",987,"2019-02-02"
27,"Brokecdx-",984,"2018-12-11"
28,"ZimE",974,"2017-01-31"
29,"Graves",966,"2016-12-26"
30,"Frank Castle",957,"2018-03-09"
31,"Graves",955,"2016-12-25"
32,"Tyga.",951,"2017-06-27"
33,"StarkillerJr.<3",950,"2018-04-23"
34,"NISO",950,"2016-12-27"
35,"Ninjed",945,"2016-05-24"
36,"Frank Castle",939,"2018-03-08"
37,"Graves",933,"2016-12-24"
38,"ZimE",931,"2017-02-01"
39,"Brokecdx-",929,"2018-12-15"
40,"Seele Vollerei",920,"2019-07-19"
41,"ᴭᴿᴼ",916,"2017-08-24"
42,"StarkillerJr.<3",912,"2018-04-22"
43,"Graves",910,"2016-12-27"
44,"Ninjed",904,"2016-05-30"
45,"leaf",903,"2018-06-07"
46,"ᴭᴿᴼ",894,"2017-08-23"
47,"Zoɇy",883,"2018-09-06"
48,"milk",880,"2015-03-15"
49,"Graves",880,"2016-12-23"
50,"Seele Vollerei",876,"2019-07-18"
51,"StarkillerJr.<3",874,"2018-04-21"
52,"milk",871,"2015-03-18"
53,"Seele Vollerei",869,"2019-07-17"
54,"NISO",867,"2016-12-28"
55,"Graves",863,"2016-12-22"
56,"ᴭᴿᴼ",861,"2017-08-22"
57,"Squee",858,"2017-01-17"
58,"Ninjed",856,"2016-05-23"
59,"Seele Vollerei",856,"2019-07-20"
60,"L",850,"2017-07-29"
61,"L",850,"2017-07-30"
62,"L",850,"2017-07-31"
63,"ZimE",850,"2017-01-30"
64,"Zoɇy",849,"2018-09-07"
65,"Cartman",848,"2017-07-27"
66,"NISO",843,"2016-12-26"
67,"NISO",843,"2016-12-31"
68,"leaf",843,"2018-06-08"
69,"ᴭᴿᴼ",840,"2017-08-21"
70,"Cartman",834,"2017-07-26"
71,"milk",833,"2015-03-16"
72,"2oo",831,"2015-07-03"
73,"Frank Castle",831,"2018-03-07"
74,"Zoɇy",830,"2018-09-09"
75,"whoami",829,"2017-08-14"
76,"Brokecdx-",826,"2018-12-16"
77,":Ram",825,"2016-08-23"
78,"leaf",825,"2018-06-09"
79,"Kadi",819,"2017-06-18"
80,"Kovu",816,"2018-06-13"
81,"WhitePau",814,"2018-03-23"
82,"Kovu",812,"2018-06-14"
83,":Ram",811,"2016-08-22"
84,":Ram",804,"2016-08-20"
85,":Ram",804,"2016-08-21"
86,"Ninjed",802,"2016-05-31"
87,"NISO",802,"2016-12-29"
88,":Ram",801,"2016-08-24"
89,":Ram",800,"2016-08-19"
90,"Brokecdx-",798,"2018-12-09"
91,"milk",797,"2015-03-20"
92,"L",795,"2017-07-28"
93,"Linkx3",795,"2019-05-08"
94,"Zoɇy",793,"2018-09-10"
95,"ᴭᴿᴼ",792,"2017-08-26"
96,"Graves",789,"2016-12-29"
97,"Graves",788,"2016-12-31"
98,"nether",787,"2017-04-21"
99,"leaf",785,"2018-06-10"
100,"NISO",784,"2016-12-25"
