Rank,Nickname,Points,DateOfPeriodStart
1,BaconDrink,12578,2018-04-18
2,BaconDrink,12554,2018-04-19
3,BaconDrink,12539,2018-04-17
4,BaconDrink,12538,2018-04-22
5,BaconDrink,12534,2018-04-20
6,BaconDrink,12526,2018-04-21
7,BaconDrink,12505,2018-04-23
8,BaconDrink,12483,2018-04-24
9,BaconDrink,12476,2018-04-16
10,BaconDrink,12470,2018-04-25
11,BaconDrink,12462,2018-04-13
12,BaconDrink,12460,2018-03-05
13,BaconDrink,12460,2018-03-06
14,BaconDrink,12460,2018-03-07
15,BaconDrink,12460,2018-03-08
16,BaconDrink,12451,2018-03-09
17,BaconDrink,12451,2018-03-10
18,BaconDrink,12446,2018-04-26
19,BaconDrink,12442,2018-04-11
20,BaconDrink,12442,2018-04-12
21,BaconDrink,12436,2018-02-20
22,BaconDrink,12435,2018-02-19
23,BaconDrink,12427,2018-04-27
24,BaconDrink,12425,2018-04-15
25,BaconDrink,12424,2018-03-11
26,BaconDrink,12423,2018-04-14
27,BaconDrink,12419,2018-03-03
28,BaconDrink,12413,2018-02-21
29,BaconDrink,12409,2018-03-04
30,BaconDrink,12407,2018-04-28
31,BaconDrink,12399,2018-03-12
32,BaconDrink,12398,2018-02-18
33,BaconDrink,12396,2018-03-28
34,BaconDrink,12395,2018-02-24
35,BaconDrink,12395,2018-02-25
36,BaconDrink,12391,2018-02-26
37,BaconDrink,12389,2018-03-02
38,BaconDrink,12388,2018-02-27
39,BaconDrink,12387,2018-04-29
40,BaconDrink,12386,2018-02-28
41,BaconDrink,12382,2018-03-01
42,BaconDrink,12377,2018-03-29
43,BaconDrink,12369,2018-02-17
44,BaconDrink,12367,2018-02-22
45,BaconDrink,12360,2018-04-02
46,BaconDrink,12360,2018-04-03
47,BaconDrink,12360,2018-04-09
48,BaconDrink,12357,2018-03-13
49,BaconDrink,12357,2018-04-10
50,BaconDrink,12355,2018-04-08
51,BaconDrink,12354,2018-03-23
52,BaconDrink,12351,2018-03-14
53,BaconDrink,12350,2018-03-25
54,BaconDrink,12348,2018-04-01
55,BaconDrink,12342,2018-03-26
56,BaconDrink,12342,2018-03-27
57,BaconDrink,12341,2018-02-23
58,BaconDrink,12340,2018-03-24
59,BaconDrink,12340,2018-03-30
60,BaconDrink,12338,2018-03-15
61,BaconDrink,12331,2018-04-05
62,BaconDrink,12331,2018-04-06
63,BaconDrink,12331,2018-04-07
64,BaconDrink,12330,2018-03-31
65,BaconDrink,12309,2018-03-22
66,BaconDrink,12293,2018-03-21
67,BaconDrink,12287,2018-03-16
68,BaconDrink,12279,2018-03-19
69,BaconDrink,12278,2018-04-04
70,BaconDrink,12272,2018-03-17
71,BaconDrink,12272,2018-03-20
72,BaconDrink,12271,2018-03-18
73,BaconDrink,12258,2018-02-12
74,BaconDrink,12257,2018-02-14
75,BaconDrink,12257,2018-02-16
76,BaconDrink,12255,2018-02-13
77,BaconDrink,12252,2018-04-30
78,BaconDrink,12245,2018-02-15
79,BaconDrink,12240,2018-02-11
80,BaconDrink,12188,2018-05-01
81,BaconDrink,12175,2018-02-10
82,BaconDrink,12167,2018-05-02
83,BaconDrink,12128,2018-06-09
84,BaconDrink,12124,2018-05-07
85,BaconDrink,12121,2018-05-03
86,BaconDrink,12118,2018-05-21
87,BaconDrink,12111,2018-02-09
88,BaconDrink,12103,2018-05-04
89,BaconDrink,12103,2018-05-06
90,BaconDrink,12102,2018-05-20
91,BaconDrink,12102,2018-06-07
92,BaconDrink,12094,2018-06-08
93,BaconDrink,12094,2018-06-10
94,BaconDrink,12091,2018-05-05
95,BaconDrink,12088,2018-06-11
96,BaconDrink,12085,2018-05-13
97,BaconDrink,12084,2018-05-08
98,BaconDrink,12081,2018-05-14
99,BaconDrink,12081,2018-05-15
100,BaconDrink,12074,2018-02-08
