Rank,Nickname,Points,DateOfPeriodStart
1,:Ram,749,2016-08-25
2,Insane,543,2017-05-26
3,RonIn,512,2017-12-16
4,ZP|Niklas',481,2016-04-03
5,El Mohands,464,2016-08-19
6,La-la-la,439,2017-08-19
7,?#@,438,2019-02-02
8,Linkx3,414,2019-05-12
9,Kpro1000,412,2017-05-30
10,Sawyn,384,2019-05-31
11,Avada,372,2018-02-10
12,Ruan,362,2017-03-19
13,british tea,353,2016-08-16
14,FFX,346,2015-10-26
15,HaZeNobody,340,2017-07-07
16,whoami,339,2017-08-13
17,Frank Castle,331,2018-03-13
18,mNiA,330,2019-01-19
19,missgebrot,329,2016-05-15
20,Monochrome,319,2017-02-17
21,Xop9,318,2019-02-27
22,Px-seven,317,2017-04-22
23,Kadi,309,2017-06-23
24,Timbaland,307,2018-03-18
25,Tyga.,304,2017-06-27
26,Brokecdx-,303,2018-12-18
27,Mini joe,301,2017-07-18
28,Yep,298,2019-03-04
29,Graves,294,2016-12-26
30,ᴭᴿᴼ,291,2017-08-27
31,ObeyxSwags,286,2016-07-11
32,leaf,286,2018-06-11
33,StarkillerJr.<3,285,2018-04-27
34,6046516387,281,2015-10-22
35,Kovu,274,2018-06-15
36,Pure Hate,272,2016-07-25
37,*~Cooki3~*,272,2016-05-14
38,Cazanna,272,2019-01-07
39,mB. | mikey12,270,2014-11-27
40,Gr1t1sh,268,2015-07-04
41,woxıc,267,2019-06-24
42,Freezestyler,264,2017-03-11
43,Squee,264,2017-01-17
44,fRg*-',264,2018-09-17
45,KlexMikrowelle,263,2018-10-08
46,Chatters,263,2019-05-08
47,LeGiT,262,2017-04-03
48,pK. | Qywinc,260,2018-08-21
49,Ninjed,256,2016-05-31
50,sen pa',254,2017-07-20
51,mouze c:,253,2015-05-16
52,J3,251,2019-04-07
53,Aoe,248,2015-09-14
54,ρɑιη,247,2016-11-18
55,L,246,2017-07-31
56,☯Mڶɴ3☯,246,2018-02-25
57,bob,244,2016-12-07
58,Blurry,242,2016-08-31
59,ayy dragan,241,2019-07-02
60,Genex,240,2018-02-25
61,ZimE,240,2017-02-01
62,Elit3N0ob,238,2018-06-17
63,Grand Champ,238,2017-08-18
64,Kore,237,2016-06-04
65,Lenah,234,2015-10-21
66,Syltoox,234,2018-01-28
67,Kotka,232,2017-03-14
68,PX-7,232,2017-04-23
69,NISO,229,2017-01-02
70,AerToX,228,2017-04-03
71,Zoɇy,227,2018-09-10
72,Wombat,226,2017-05-06
73,Crytek,225,2017-08-07
74,Daan.-,225,2018-01-08
75,Fermer,225,2016-07-24
76,gdin,220,2017-02-11
77,R!ckey,220,2016-10-29
78,Re,219,2018-01-11
79,Javiera|,219,2019-06-25
80,Hop,218,2017-03-20
81,Skaydox,218,2016-04-21
82,Brabrolic,218,2017-08-21
83,Kᴀısᴇʀ,216,2016-07-23
84,mB. | maple,213,2014-11-28
85,Seele Vollerei,213,2019-07-23
86,Secondfive,212,2015-09-29
87,2oo,211,2015-07-04
88,Cartman,210,2017-07-27
89,kys :),210,2015-09-06
90,Fuchzi,210,2019-02-16
91,laxa,208,2016-05-11
92,UniStyle,206,2019-03-19
93,nivo,206,2016-05-07
94,nether,204,2017-04-25
95,Knuski,202,2018-09-30
96,sheep,200,2018-06-01
97,Music \"ON\",196,2016-10-30
98,BadgeR,196,2017-11-25
99,Exotix,195,2016-05-27
100,Jesus Christ,195,2016-12-18
