Rank,Nickname,Points,DateOfPeriodStart
1,"gruik",10817,"2021-07-01"
2,"KuNao",2930,"2021-06-11"
3,"rhino",2760,"2020-02-02"
4,"♆ Deejay ♆",2758,"2021-06-12"
5,"Shiriusu",2710,"2021-06-29"
6,"Ninjed",2707,"2016-05-05"
7,"♆ GoD ♆",2697,"2021-06-13"
8,"Aoe",2643,"2020-10-07"
9,"冷風a",2634,"2021-07-04"
10,"'Schwi♫",2586,"2020-11-06"
11,"Λrktis",2469,"2021-01-02"
12,"Zoɇy",2464,"2018-08-19"
13,"XerRious",2462,"2021-04-13"
14,"Ryu",2419,"2021-09-21"
15,"Graves",2403,"2016-12-24"
16,"I.K.U",2400,"2021-01-02"
17,"NyZz",2384,"2021-08-07"
18,"Brokecdx-",2372,"2018-12-10"
19,"Cyclic~",2358,"2020-01-09"
20,"Chyste",2319,"2020-09-01"
21,"KynɨʟɨӼ",2293,"2021-01-30"
22,"满月",2266,"2021-03-08"
23,"NISO",2255,"2016-12-16"
24,"Outs",2244,"2016-02-15"
25,"我就蹭蹭",2244,"2021-07-23"
26,"Tyga.",2223,"2017-06-27"
27,"Smurfer",2215,"2020-08-29"
28,"杨帆",2214,"2021-09-24"
29,"zeldita",2196,"2020-01-20"
30,"Comebäck",2179,"2020-01-23"
31,"milk",2169,"2015-06-25"
32,"cc",2157,"2019-09-15"
33,"若非她",2157,"2021-08-08"
34,"BaconDrink",2152,"2018-06-23"
35,"Yækè",2095,"2019-08-19"
36,"asshole",2068,"2020-04-21"
37,"天神阿利夫",2061,"2021-08-18"
38,"DiegoBlaster21",2057,"2021-04-02"
39,"Knuski",2057,"2018-09-22"
40,"Pauline",2048,"2018-03-16"
41,"顾慌",2042,"2020-12-08"
42,"Crayzer",2041,"2021-09-30"
43,"Nurxil",2038,"2021-06-06"
44,"2oo",2036,"2015-07-03"
45,"Mikey.",2030,"2020-10-16"
46,"mememe",2024,"2021-06-18"
47,"Arrow",2024,"2021-04-01"
48,"被强煎的蛋",2019,"2021-06-06"
49,"Rudra",2009,"2021-04-30"
50,"猫猫",2007,"2021-04-29"
51,"Imperius",1999,"2021-01-09"
52,"Velozity",1977,"2020-09-24"
53,"murpi",1965,"2020-05-25"
54,"Indominus",1962,"2021-06-29"
55,"AerToX",1947,"2017-03-13"
56,"?#@",1936,"2019-01-30"
57,"美味",1919,"2021-09-23"
58,"是餅乾喔",1916,"2021-08-07"
59,"ZameR",1913,"2021-04-07"
60,"Linkx3",1912,"2019-04-18"
61,"Shrekich",1912,"2020-05-02"
62,"Grk0ne",1896,"2018-01-08"
63,"Noctua",1892,"2017-06-04"
64,"ᴭᴿᴼ",1884,"2017-08-21"
65,"TeeLee",1871,"2015-09-22"
66,"Toushi",1858,"2021-07-30"
67,"Novice小慕情",1851,"2021-09-30"
68,"~Sr.Trululu~",1845,"2020-06-12"
69,"Crytek",1841,"2018-06-21"
70,"Mystery?",1840,"2020-04-25"
71,"ano :3",1832,"2020-09-25"
72,"zessU",1826,"2020-11-29"
73,"resas",1818,"2021-05-01"
74,"Colo-Colo",1814,"2018-01-10"
75,"幻想",1810,"2020-12-08"
76,"StarkillerJr.<3",1797,"2018-04-12"
77,"救援-萌新",1794,"2021-09-17"
78,"*~Rôny~*",1789,"2017-04-03"
79,"Tomi",1788,"2021-09-29"
80,"沐晨：",1788,"2021-07-22"
81,"M Emile",1785,"2021-02-05"
82,"Maps",1785,"2021-03-27"
83,"zff",1781,"2021-04-29"
84,"歪比巴卜",1781,"2020-11-20"
85,"Hav",1780,"2021-04-21"
86,"Rᴇᴇvıᴇ",1775,"2016-06-23"
87,"leaf",1775,"2018-06-07"
88,"Weedbärchiii",1774,"2021-05-08"
89,"Elsa Cowea",1767,"2021-05-20"
90,"TyшkaNчuk",1759,"2016-07-12"
91,"绝对白给",1753,"2021-07-25"
92,"wink",1751,"2021-01-07"
93,"egorfake",1744,"2021-01-09"
94,"Brezzel",1743,"2021-07-05"
95,"黑化窜天猴",1742,"2021-06-07"
96,"Magic'x3",1741,"2020-12-21"
97,"SirVivi",1740,"2020-11-01"
98,"c[]okie m[]nsta",1739,"2020-07-30"
99,"XX",1739,"2021-06-28"
100,"RedFight",1733,"2021-08-25"
