Rank,Nickname,Points,DateOfPeriodStart
1,"gruik",8128,"2021-07-01"
2,"NyZz",2008,"2021-08-21"
3,"zeldita",1805,"2020-02-02"
4,"rhino",1529,"2020-02-07"
5,"?#@",1518,"2019-01-30"
6,"Ninjed",1319,"2016-05-28"
7,"♆ GoD ♆",1210,"2021-06-13"
8,"Brokecdx-",1205,"2018-12-12"
9,"StarkillerJr.<3",1149,"2018-04-25"
10,"Sawyn",1141,"2019-05-30"
11,"Frank Castle",1113,"2018-03-11"
12,"满月",1090,"2021-03-21"
13,"♫samu♫",1060,"2021-01-31"
14,"-KingDom-",1041,"2021-07-24"
15,"whoami",1033,"2017-08-09"
16,"kenzo",1017,"2020-07-16"
17,"xXìcéXx",1013,"2021-02-18"
18,"Weedbärchiii",976,"2021-05-29"
19,"ZimE",974,"2017-01-31"
20,"Graves",966,"2016-12-26"
21,"Tyga.",951,"2017-06-27"
22,"NISO",950,"2016-12-27"
23,"冷風a",937,"2021-07-03"
24,"Comebäck",926,"2020-02-07"
25,"Shinoa :3",925,"2021-09-05"
26,"ᴭᴿᴼ",916,"2017-08-24"
27,"Seele Vollerei",914,"2019-07-19"
28,"OldCity",913,"2021-07-24"
29,"Marc.",912,"2021-03-29"
30,"Aoe",908,"2020-10-10"
31,"leaf",903,"2018-06-07"
32,"milk",886,"2015-03-15"
33,"Zoɇy",883,"2018-09-06"
34,"♆ Deejay ♆",875,"2021-06-22"
35,"RedFight",873,"2021-08-27"
36,"Squee",858,"2017-01-17"
37,"Filis",857,"2020-06-01"
38,"Agressor",855,"2021-05-12"
39,"Ferret",852,"2019-11-16"
40,"L",850,"2017-07-29"
41,"Cartman",848,"2017-07-27"
42,"XerRious",839,"2021-03-26"
43,"Shiriusu",839,"2021-07-02"
44,"KuNao",829,"2021-06-16"
45,"Skaydox",828,"2020-09-30"
46,"2oo",825,"2015-07-03"
47,":Ram",825,"2016-08-23"
48,"Toushi",821,"2021-08-03"
49,"Kadi",819,"2017-06-18"
50,"'Schwi♫",818,"2020-11-06"
51,"Kovu",817,"2018-06-13"
52,"Pauline",814,"2018-03-23"
53,"Knuski",807,"2020-12-22"
54,"asshole",804,"2020-05-01"
55,"Ryu",803,"2021-09-25"
56,"Avasus",795,"2021-03-30"
57,"Linkx3",795,"2019-05-08"
58,"Λrktis",794,"2021-01-23"
59,"Cyclic~",793,"2020-01-29"
60,"nether",787,"2017-04-21"
61,"KynɨʟɨӼ",787,"2021-01-31"
62,"Monochrome",782,"2017-02-13"
63,"Peep",777,"2019-11-07"
64,"Indominus",772,"2021-07-12"
65,"救援队1号",769,"2021-08-16"
66,"露桃知秋",768,"2021-09-03"
67,"iKoma",767,"2020-06-14"
68,"Crytek",766,"2018-07-12"
69,"murpi",765,"2020-05-24"
70,"missgebrot",764,"2016-05-10"
71,"Kandiifloss",761,"2021-07-21"
72,"I.K.U",754,"2021-01-05"
73,"白灼似昼",753,"2021-09-03"
74,"GlobQ",752,"2020-09-21"
75,"Outs",750,"2016-02-28"
76,"BaconDrink",748,"2018-07-04"
77,"agony",748,"2019-08-27"
78,"Gr1t1sh",746,"2015-06-29"
79,"Tomi",746,"2021-10-14"
80,"Yækè",744,"2019-08-31"
81,"ღJesusღ",743,"2016-05-27"
82,"Insane",742,"2017-05-23"
83,"Smurfer",740,"2020-09-16"
84,"cc",739,"2019-09-17"
85,"Chyste",734,"2020-09-04"
86,"mB. | mikey12",728,"2014-11-26"
87,"La-la-la",727,"2017-08-19"
88,"NiC0_99",726,"2019-12-05"
89,"Novic",724,"2016-03-30"
90,"Kotka",724,"2017-03-10"
91,"ρɑιη",721,"2016-11-16"
92,"Cougar~",716,"2020-07-28"
93,"Chocodilez",715,"2020-01-18"
94,"KlexMikrowelle",712,"2018-10-03"
95,"watёr",709,"2017-07-09"
96,"ZameR",705,"2021-10-12"
97,"Muruk|XLH",703,"2015-11-16"
98,"Imperius",700,"2021-01-10"
99,"Gorden",699,"2021-01-04"
100,"NovaShock",697,"2016-12-14"
