Pairs of players with the most number of ranks together (top-1000)
1. 598 - Cor, (D)Cor
2. 593 - QzBoY, Bes
3. 591 - Tropo, NANAMAR
4. 583 - daladen, WillR
5. 534 - NovaShock, [D]NovaShock
6. 495 - ┇»MíM«┇, Cazanna
7. 467 - Limbo, FUMOFFU
8. 409 - coradax, [D]coradax
9. 395 - Esckiller, Pasta
10. 394 - Soapy Sandwich, stompie
11. 394 - .:Danytto:., Grk0ne
12. 391 - Cadi, [D] Cadi
13. 379 - Wollwolke, Kessყ
14. 377 - TyшkaNчuk, (1)TyшkaNчuk
15. 368 - LanuX, brain
16. 354 - NISO, Graves
17. 351 - Soapy Sandwich, OverturnedOnion
18. 347 - ByEdGaR, [D] ByEdGaR
19. 342 - Skaydox, Goran
20. 338 - .:Danytto:., Colo-Colo
21. 337 - FiL, [D]FiL
22. 330 - Goran, Beiroc
23. 326 - fikmesån, snailx3
24. 324 - Akari, Spectre II
25. 321 - milk, bluekitty
26. 318 - .:JeT:., jet`s dummy
27. 314 - Ark :3, Obst
28. 311 - Konsti, itsnoKonsti
29. 310 - .:Danytto:., .DanieL.
30. 307 - fikmesån, Kicker
31. 294 - ℉ƦëƁØƝ, FreBoN
32. 294 - Brokecdx-, painn
33. 293 - Rakudai, iadukaR
34. 292 - Esckiller, Zwelf
35. 289 - Ezpz, EzzyPezzy
36. 283 - Rolf, Obst
37. 282 - Skaydox, Beiroc
38. 278 - TomeeY, Wondernoob
39. 277 - Soapy Sandwich, NovaShock
40. 271 - Iaan~|, Colo-Colo
41. 268 - vizur, naaa
42. 267 - egorfake, Imperius
43. 267 - Grk0ne, Larlok
44. 267 - Jimmy Jazz, NovaShock
45. 265 - =phacrum=, =645654=
46. 265 - Ark :3, Rolf
47. 263 - Lifkug, [D] Lifkug
48. 261 - Sir Knuddel, Lady Knuddel
49. 259 - Obito634, ΌℬitO➏34
50. 259 - Sweeeeet GM :>, Elit3N0ob
51. 255 - Quote, gilgamesh
52. 253 - ИІқά◦, ItachiEA
53. 251 - Grk0ne, Grk
54. 246 - Pwner, Shocker
55. 244 - Esckiller, |Snow|
56. 242 - Evgesha, Hunter13ua
57. 240 - =Schulzer=, Tropo
58. 240 - White-King, {    }
59. 238 - Rolf, hohesC
60. 236 - Kicker, Miu
61. 234 - Iaan~|, Kotka
62. 232 - Starkiller, StarkillerJr.<3
63. 222 - Monochrome, [B~B]
64. 220 - electrohock777, electro
65. 219 - ©ßøæø®, Knuski
66. 218 - zelda., jao
67. 216 - «Èni®õ§|*>, Nõ GõõD «È
68. 215 - Unknown ~, Carolina.
69. 208 - Limbo, Valee>:c
70. 207 - Hydra, ^b[Bro] flummi
71. 204 - gB. | Kayumi, gB. | FeIs
72. 200 - Esckiller, W@l!e
73. 199 - -$-Ãim41Ҝ-$-, ₳maŧeraȿu
74. 196 - Colo-Colo, Grk0ne
75. 196 - Sαnti~, (1)Sαnti~
76. 193 - Snark, jette
77. 190 - ad, PeX
78. 187 - Xploit, valex32
79. 187 - Super, Frosch
80. 187 - Soapy Sandwich, Jimmy Jazz
81. 186 - Bibi, Beast
82. 186 - TheKiller, Shiro01
83. 185 - hohesC, Obst
84. 185 - 'faceless, Issi
85. 184 - Azerty, Kappa
86. 183 - Haraknos, Aposqueesh
87. 182 - Ark :3, hohesC
88. 182 - MSTAR :D, MSTAR
89. 180 - imp, fikmesån
90. 179 - Lady Saavik, BumBumeq
91. 178 - Qu!ck, Pastoer
92. 177 - 3721301756, Blurry
93. 176 - =645654=, ania
94. 173 - Theon, Knuski
95. 171 - Jojo, Jojo 1.2
96. 171 - [D] IcyFire, IcyFire
97. 171 - Knuski, Knuskii
98. 169 - Nidalee, NovaShock
99. 168 - hi_leute_gll, Meliodafu
100. 167 - ©ßøæø®, Ɍøηɋȵ
101. 163 - DLeeUrzua, ChaLoko
102. 162 - Chillbreaker, SpeedyGER
103. 162 - Jumgar, Jakral
104. 160 - TheGhast, Greenman
105. 160 - caro:3, EduFlan
106. 157 - Forris, maggi323
107. 156 - Cola Dose, Deathman
108. 154 - Hindu, gB. | Zerodin
109. 154 - ☯Mڶɴ3☯, TheJoker
110. 154 - Esckiller, [*Fly]FeatuRe*
111. 154 - stompie, stompie²
112. 154 - Fluday, Blurry
