No.,Map,Points,CountOfFinishedTees,MedianTime(min),PeX_time(min)
1,Indami,12,64,3.05,6.81
2,First Try,27,95,6.2,11.22
3,Eruption,12,139,33.25,11.4
4,Noh,16,145,2.72,3.21
5,Smash,15,147,6.54,10.07
6,Analyzer,30,168,40.97,16.15
7,Poke,16,171,13.33,7.79
8,Verification 3.7,12,175,2.08,1.84
9,Narcissistic,24,194,9.56,7.14
10,To the moon,24,204,2.83,6.54
11,Endgame,18,206,51.68,54.81
12,Furypleasure,21,214,5.79,1.74
13,Victory 5,24,219,62.23,59.6
14,Radiation,21,224,23.8,23.67
15,Deadline 2,16,230,40.27,52.94
16,Easy Way,16,231,10.8,7.85
17,complic,21,233,13.4,9.54
18,The Uns,18,239,37.01,19.07
19,Illusion,12,242,52.82,36.76
20,Zephronikon,16,243,56.73,94.65
21,Kabarda,21,247,23.76,28.86
22,8 points,8,251,3.08,2.53
23,Unbalanced,21,252,2.18,4.31
24,Goldshire,24,253,41.49,38.25
25,Orange 2,12,255,22.53,29.44
26,EaSy_HarD 4,18,271,39.3,29.75
27,Cold Jungle,24,282,25.93,36.56
28,CHILLUMINATI,12,282,0.97,0.76
29,Hardstyle 4,24,287,42.38,22.31
30,Journey Man 2,27,290,149.73,170.7
31,Haunted Dungeon,6,291,35.75,26.51
32,Golden_Evening,12,292,2.53,2.8
33,Perfect World,18,298,17.93,12.71
34,DarkRoad,15,301,35.19,30.07
35,Tough,21,304,24.4,38.69
36,Day,20,306,45.26,14.29
37,DeepEdge,12,310,6.76,6.25
38,Fluke,21,314,23.5,25.78
39,Chaos 3,16,315,28.49,27.45
40,Hardcore 12,21,316,57.0,51.7
41,sense,13,318,14.42,4.31
42,Black&White,24,318,6.02,5.68
43,minion,15,320,26.14,21.9
44,DarkCore 1,12,327,26.16,33.41
45,Paradise & Hell,18,333,63.92,36.84
46,Ray - 2,13,336,17.74,23.43
47,Blue Hell,20,337,19.51,31.07
48,Croissant,12,338,10.58,10.87
49,Freezejump,12,339,1.52,1.55
50,Hillside,24,342,61.77,48.93
51,Multivitamin,16,344,57.65,48.55
52,Highlife,24,345,22.11,18.51
53,whatever,16,347,26.49,53.8
54,Grid,12,347,2.59,2.63
55,Gedan2,8,348,9.73,2.5
56,blur,18,356,5.85,5.16
57,Victory 4,18,358,62.77,71.03
58,Victory 1,24,359,50.04,32.31
59,Roaming Ruins,15,364,6.44,7.01
60,alternative,13,365,43.15,63.21
61,FreeDoom2,18,369,44.74,25.59
62,Leftovers 1,8,371,2.62,2.17
63,Time Shop,15,373,512.77,508.98
64,Bush,18,377,11.0,7.12
