No.,Map,Points,CountOfUnfinishedTees,MedianTime(min)
1,JustCopyFly,10,2399,9.68
2,Samsara III,15,2373,20.13
3,Naufrage 2,24,2243,80.31
4,Just Rocketfly 1,15,2223,8.05
5,Skychase,20,2128,18.3
6,Downhill Jam,15,2104,5.19
7,Samsara II,15,1991,16.73
8,RON,15,1938,10.93
9,TakeUrLuggage,15,1920,14.26
10,Bomb Raid 2,15,1873,12.32
11,Darkvine,15,1856,12.72
12,Chill Let's Climb,8,1743,28.22
13,HDP_Run2,8,1676,19.99
14,Red Avenue,13,1661,69.57
15,Naufrage 3,24,1611,110.08
16,Josen,6,1584,42.81
17,Greed,15,1584,27.56
18,SkyFly,10,1583,8.73
19,Push it,8,1582,2.93
20,Fresh,6,1580,26.83
21,NightSky,11,1571,28.34
22,Summer Breeze,12,1565,21.94
23,Dummy Chamber 3,15,1532,5.65
24,Flying in the Sky,18,1513,45.62
25,Drag-House2,8,1489,20.14
26,Dust's Leaf,8,1383,4.25
27,Barren,21,1376,17.13
28,Heaven,9,1372,24.1
29,nullptr,18,1345,36.96
30,CCrush,8,1304,28.74
31,Cheepl,8,1292,6.31
32,Forest,12,1282,23.27
33,Sundara,15,1258,36.36
34,MojoJump,8,1249,11.21
35,Escape from the Prison,15,1229,24.93
36,Autumn Sunset,12,1223,4.29
37,HDP_Obstaculos,6,1209,45.96
38,Simple World 3,11,1203,37.03
39,Destruction,15,1194,32.82
40,Broken hammer,10,1179,11.52
41,mainstream,9,1177,55.69
42,The Bunker,11,1162,45.39
43,Madness 4,12,1159,46.03
44,Escape,12,1152,11.61
45,Neverwhere,15,1141,147.54
46,Encore,12,1138,13.49
47,Chaos Factory 2,8,1135,31.95
48,Kiko,13,1131,60.47
49,HeyYa,8,1108,20.88
50,ATLAS,8,1106,28.96
51,FWYS 4,12,1102,78.14
52,Reach Pluto,12,1100,24.12
53,Target,20,1089,7.36
54,Madness 3,12,1069,42.82
55,Miper 3,6,1067,22.88
56,Twix,9,1057,38.06
57,Im No Superman 2,12,1054,47.48
58,Increase Your Speed,8,1053,3.31
59,Castle Lemongrab,11,1051,52.71
60,BlackBear2,8,1050,0.52
61,NUT_race1,8,1048,9.27
62,Dark Rainbow,8,1037,18.62
63,Chevtzo,13,1034,93.58
64,HellFly,6,1032,6.77
65,Daunell,11,1023,63.11
66,Rocket Jump,8,1011,7.38
67,Cavings I,9,998,21.51
68,Divided,12,997,26.84
69,Eternal,13,996,37.32
70,Peaceful Jungle,9,991,29.52
71,Short Flight,13,987,25.35
72,Just HookThrough,9,985,11.27
73,Holiday Adventure,13,981,37.71
74,Tricktee,15,980,42.1
75,Cross,13,979,66.21
76,Jungle,8,966,15.86
77,Madness 5,16,964,45.85
78,BlackBear7,8,951,0.29
79,Snowzz,12,946,39.53
80,2 easy for u,9,943,54.0
81,.Background',12,942,28.11
82,Freeze Slow 1,6,938,29.91
83,Tee Legends 3,8,938,1.95
84,Four Gates,16,932,61.66
85,piViq,11,920,31.87
86,Atticus Compilation,6,913,54.46
87,NiggoDrag,13,912,64.84
88,Moon of the Jungle,12,910,47.09
89,Allround,8,905,10.36
90,Let's Fail!,15,883,21.98
91,Crystal Maze,13,882,21.4
92,Hardcore 7,18,880,53.44
93,Hell Ride,12,879,36.57
94,HeartOfMoon,13,875,18.02
95,Zonsa,20,875,27.35
96,LATOM,16,863,27.03
97,Universe,12,860,63.45
98,Dragonscale,16,860,56.21
99,Art of Movement,12,858,9.96
100,Sand Dune,24,857,51.38
101,black-mountains,8,856,15.48
102,Alpha,8,854,15.33
103,Bomb Raid,15,853,11.53
104,IMA NINJA,12,850,23.11
105,Lonely Swim 9.0,8,849,0.99
106,Warch Comp,6,849,59.2
107,Insanity,12,848,50.53
108,0 to 100,13,847,31.72
109,Limitation,11,840,33.11
110,Hardcore 9,18,833,38.21
111,Hardcore 3,12,830,65.76
112,Brown Suger,8,827,2.87
113,DatWay,12,827,15.15
114,Deep Forest,18,824,47.25
115,Creative,16,816,32.35
116,LazeAround,15,813,46.52
117,Miper 4,6,805,29.0
118,Rocket Player,8,805,9.16
119,Reality,16,793,23.27
120,CrashTV,12,792,25.06
121,Empty,15,790,58.18
122,Bercy,12,785,32.54
123,navii,8,777,4.31
124,Bl0odDens3,21,774,1.67
125,Push him,11,774,15.07
126,Chill Let's Climb 2,8,771,51.98
127,run_heaven_and_hell,4,769,7.56
128,selfdragger,8,763,1.6
129,Difficult 2.1,12,762,37.87
130,HDP_run_gay25,12,762,28.04
131,mazepack,4,755,1.21
132,Peaceful Jungle 2,13,751,40.92
133,BlackVision,8,749,7.24
134,run_glowing_ice,4,749,3.5
135,Plan C,11,741,26.61
136,Freeze Slow 2,6,741,36.82
137,S-Race 2,12,739,22.62
138,run_pokemon,4,739,11.49
139,Holy Key,18,738,30.13
140,Hardstyle 1,12,737,43.18
141,Bootcamp #2,11,725,29.51
142,Exchange,12,723,15.96
143,lovely me,12,721,15.19
144,run_4popi,4,719,4.65
145,Brownie,16,715,30.11
146,run_experience_of_incredibleness,4,713,6.39
147,Wailand,18,712,49.64
148,Samsara V,15,710,13.71
149,Sunreal,11,709,10.33
150,Lonely Swim 3,8,708,1.38
151,HURT,15,699,30.45
152,Zadrotos 1,12,698,33.65
153,Unlimited,12,697,41.38
154,NUT_race6,12,696,15.46
155,Nujabes,11,690,49.72
156,SunDay 3,15,689,91.98
157,Tee Legends 2,8,688,2.06
158,run_4fikmesan,4,687,2.91
159,Offpanic,18,687,67.61
160,run_unschaffbar,4,683,3.65
161,climate-crisis,4,681,13.33
162,At Night,20,680,79.81
163,Hopeless II,8,679,2.44
164,Lonely Swim 9.1,8,677,0.98
165,SkipIt2,8,676,0.17
166,Jailbreak 3,6,675,38.31
167,Aim 10.0,27,671,59.61
168,Nucl,18,668,60.37
169,Doable,11,665,18.33
170,Nasa,16,663,25.47
171,Zoe,18,660,44.95
172,run_crystal,4,659,3.04
173,Limitless,15,659,19.98
174,Climax,15,657,56.23
175,Late Evening,8,657,1.25
176,Conscientious,13,656,24.5
177,run_miniatur,4,655,3.05
178,Stoned.,18,652,37.36
179,SomewhereDistant,9,650,11.05
180,Spooky,11,650,66.74
181,run_nightmare,4,650,4.62
182,Xabier,11,649,29.56
183,PetJack 2,12,648,11.69
184,WEEDS,11,648,16.72
185,Vesper,8,643,5.89
186,Death Valley,21,641,28.84
187,DoT,16,638,40.07
188,BlackBear4,12,637,0.67
189,Zadrotos 2,12,636,63.6
190,Emerald,13,635,41.87
191,Aim 7.0,24,634,37.98
192,[SI] SELEN,11,633,14.02
193,PetJack,12,632,11.93
194,Universum 16,12,628,14.28
195,StormzZ,12,626,28.44
196,Michler,12,622,51.71
197,run_black_white,4,620,9.07
198,run_hot_or_not,4,620,5.1
199,SonQuery,12,619,20.23
200,run_birthday,4,614,5.67
201,Hardstyle 2,12,612,33.52
202,TowerOfDesperation,13,609,53.57
203,DreamWorld,18,608,58.01
204,Aviate,21,608,55.33
205,Swoosh,13,604,56.43
206,Aim 5.0,24,601,72.46
207,Equity [Easy],8,601,1.81
208,Rogue World,18,600,55.74
209,Aufnahmetest_AE,4,598,4.91
210,run_redbull,4,598,2.72
211,Miper 5,6,593,43.15
212,Just Hookfly 1,6,591,12.81
213,Blue Drag,21,589,50.08
214,Frostbite,12,585,13.4
215,Goldmoon,18,583,43.06
216,Just Fly 3,6,582,13.74
217,Determination,18,582,36.16
218,Angry 2,12,578,31.35
219,run_ice_castle,4,577,7.56
220,run_pencil,4,577,2.15
221,Lonely Swim 9.2,8,576,1.72
222,Milthrid Core,27,574,43.69
223,Pace,10,573,2.86
224,run_4tzoy,4,570,3.8
225,Humpalumpa 2,13,569,62.63
226,Just Rocketfly 2,20,568,16.37
227,Night of Spikes,8,565,2.5
228,deadrun,8,563,0.82
229,Jungle Run,8,562,1.35
230,run_stoned,4,562,6.11
231,NUT_hardcore_race2,12,560,14.95
232,Brown,13,559,48.14
233,Verification 6,8,559,0.93
234,Infinity,18,557,59.43
235,run_firestorm,4,556,3.81
236,Rope swing,8,556,4.11
237,Professional,18,554,44.45
238,Dusty Road,15,552,32.0
239,Eternal 2,15,552,80.56
240,run_skizzpopo,4,551,7.38
241,Cleopatra,13,551,79.27
242,Soft,15,548,20.75
243,Casthere,12,548,6.12
244,Short Con,8,547,4.52
245,Black Jungle,8,545,23.79
246,NightRunner,16,543,31.6
247,SpongeBob 2,8,543,46.89
248,Construction I,15,541,55.76
249,Aequilibrium,15,541,52.42
250,Verification 3.0,8,540,0.97
251,Outside,12,540,12.57
252,Neon 1,13,539,74.66
253,lovely me2,12,539,40.33
254,BlackBear6,12,539,0.34
255,DummyCopter,15,538,7.96
256,pr0-move,4,536,8.8
257,AreaOfEffect,16,535,38.14
258,gendum,20,534,9.76
259,Jailbreak 2,12,533,35.8
260,One Way,11,528,17.95
261,Impossible 1,12,528,25.4
262,Aim 4.0,24,528,38.84
263,Angry,12,523,24.7
264,Indicud,21,522,54.63
265,Ambrosia,16,521,23.29
266,Jumanji,15,520,58.55
267,Tropical Drag,20,520,19.56
268,NoTeleBro,20,518,10.71
269,21,16,517,31.68
270,Skave,18,517,45.55
271,PreciousDream,11,516,16.58
272,Lost Castle,16,516,62.51
273,LazeAround2,11,514,32.67
274,IronFlight,16,513,57.18
275,Circle,13,510,66.8
276,Jailbreak 1,12,508,49.11
277,3Play,13,506,54.7
278,Scabrous,21,505,38.52
279,blue-mountains,16,504,44.5
280,UpNDown,8,502,3.39
281,Behind the Darkua,18,501,46.44
282,Miracle,12,501,44.74
283,Hollywood Undead,8,500,1.39
284,Midnight,15,499,53.64
285,P2Z_Island,13,498,35.29
286,Finito,16,498,24.73
287,Rapture,13,497,42.79
288,Generic Hell,18,493,78.2
289,Temple of Doom,15,492,69.0
290,Seduction,15,491,28.04
291,Bootcamp #1,13,491,38.76
292,HappyEaster,16,491,29.91
293,SoManyStars,8,489,0.82
294,run_toxic_green,4,489,5.65
295,Im No Superman 3,18,486,31.28
296,SunDay 2,15,485,66.53
297,lemonland,16,485,56.74
298,Poreotics,12,483,26.28
299,Verification 2.1,8,483,0.64
300,FindTheFreeze,9,481,13.59
301,Desolation,16,480,20.7
302,[SI] NEVERLAND,11,478,39.02
303,MicCore,16,475,56.72
304,Paik,16,475,24.0
305,Desert Duration,8,475,8.03
306,Verification 3.3,8,473,0.95
307,back and forth,12,471,11.16
308,Memories,18,470,18.9
309,Verification 2,8,470,0.59
310,Verification 2.2,8,470,0.33
311,Generica,27,469,65.31
312,JungleRabies,25,469,31.01
313,Fly Lessons,8,467,15.58
314,NUT_hardcore_race1,12,467,24.59
315,SkipIt,12,465,0.73
316,NUT_race7,8,464,10.45
317,Hubbel,13,463,29.88
318,Scabrous 2,20,463,79.11
319,Fonders,18,460,56.51
320,Red Japan,12,460,30.32
321,Excast,11,460,29.85
322,HellGate X,13,458,59.15
323,zelda,6,456,13.19
324,run_FreezyFly,4,455,9.96
325,Wrong Forest,11,454,30.72
326,SpookyDrag,20,452,20.5
327,Ruin,21,451,39.88
328,LuckyStrike,18,451,32.16
329,Maximum,12,451,30.45
330,Primeval Forest,15,450,19.28
331,run_black_jack,4,450,5.94
332,Slide,8,449,5.45
333,Samsara IV,20,446,30.44
334,Extension 2.0,8,445,8.22
335,MysteryCompound,15,445,34.63
336,run_tee,4,444,6.44
337,run_dfc,6,444,12.38
338,Rainbow Sunrise,13,443,42.98
339,Fall & Rise,15,438,34.02
340,Old Style,8,437,1.6
341,Challenge,13,434,52.99
342,Hopeless,12,433,1.65
343,FaCe,13,432,35.34
344,Aim 6.0,24,431,62.62
345,Frats 5,12,431,26.45
346,Everlast,13,431,27.86
347,Back in the days 2,24,431,98.0
348,DeathClaw,20,430,100.03
349,SkyCave,8,430,2.32
350,Reload 1,12,429,19.58
351,Bittersweet Sunset,12,429,34.24
352,Aim 1.0,24,428,36.98
353,Im No Superman 1,12,427,20.61
354,Dawn To Dusk,15,427,55.0
355,Next 2,16,427,29.15
356,Skyisland2,16,427,14.96
357,run_dragon,4,427,5.34
358,Freeze Jungle,13,426,22.29
359,run_yellow_hell,6,426,6.56
360,Excast 2,15,423,27.66
361,Solo Future,12,423,30.72
362,Broken brain,16,423,20.47
363,Gedan,8,422,3.34
364,Theory Of Fail,8,422,6.3
365,SpoopyDrag,15,421,13.56
366,run_granit_stone,4,419,3.99
367,Aufnahmetest,12,418,2.55
368,Herbstzeitlose,13,418,18.61
369,Space & Time 2,21,415,88.46
370,Myth,12,413,46.27
371,Verification 3.5,8,413,0.5
372,run_4mystery,4,413,5.92
373,Excast 4,13,413,27.33
374,Ultimatum 3,18,411,29.62
375,Just deep fly,25,411,38.35
376,Golden,11,410,19.69
377,Fantabob,16,409,27.54
378,Injection 2,25,408,33.21
379,BackToBasics,15,406,25.44
380,Karaboudjan 3,21,405,73.82
381,Yoko 2.1,18,403,7.03
382,Fucktastic,12,403,54.07
383,Toadsquad,11,403,20.04
384,Caution,11,402,28.57
385,run_radioactive,6,402,4.14
386,Flow,21,402,79.09
387,Iron Island,8,401,3.99
388,run_4xerhul,6,400,7.79
389,WoFs,18,399,158.0
390,Out of Castle,24,399,87.14
391,The Swamp,15,399,87.73
392,Explosive,12,397,55.11
393,Dynamic,21,396,51.09
394,run_the_rock,4,396,10.98
395,Aim 2.0,24,395,48.28
396,Koule 17,21,395,61.45
397,Cultist,20,395,13.06
398,Wasteland,21,394,53.15
399,Everdeen,21,394,84.04
400,The Tower,12,394,5.75
401,GenericRush1,18,394,25.96
402,Zadrotos 3,12,392,58.13
403,Resi,20,389,4.57
404,Uniswim,8,387,0.83
405,FWYS Key 1,13,384,43.74
406,Fallen Angel,12,384,16.72
407,Aim 9.0,27,382,61.49
408,Executive,20,382,79.43
409,Verification 3.1,8,382,2.23
410,Dawn Of The 7th Day,21,380,51.09
411,DarkCore 3,12,379,29.93
412,Notice 1,16,379,36.56
