Map,Server,Points,Stars,Mapper,Timestamp
"Pink Sky","Brutal",18,1,"Silex","2013-11-01 16:48:00"
"Not Adrenaline 4","Moderate",11,3,"Silex & Kintaro*","2013-11-02 17:50:00"
"Roaming","Brutal",24,3,"mikey12","2013-11-02 23:27:00"
"Mini Zero","Solo",4,1,"Zerodin","2013-11-06 21:37:00"
"SkiLLz","Moderate",11,3,"SkiLLz","2013-11-07 00:26:00"
"Goldmoon","Brutal",18,1,"Gianth","2013-11-07 00:26:00"
"Hell Ride","Oldschool",12,2,"Cøke","2013-11-07 00:26:00"
"Mini Zero II","Solo",4,1,"Zerodin","2013-11-10 18:13:00"
"Jungledread","Brutal",21,2,"[*MC*]-DuBai-.?","2013-11-12 14:40:00"
"Lygerastia","Moderate",9,2,"Gianth","2013-11-16 14:15:00"
"Joyride","Solo",4,1,"Zerodin","2013-11-16 20:11:00"
"Hubbel","Moderate",13,4,"Welf","2013-11-17 15:49:00"
"Exchange","Solo",12,3,"Delo & Kintaro*","2013-11-19 18:54:00"
"Fly out of hell","Solo",20,5,"Micro","2013-11-20 22:12:00"
"AiP-Gores","Oldschool",6,1,"ZarneXxX","2013-11-20 22:20:00"
"Mario_reloaded","Moderate",13,4,"Destoros","2013-11-20 22:20:00"
"Redemption","Moderate",11,3,"Broken","2013-11-21 16:32:00"
"Big Sun","Brutal",21,2,"Spyker","2013-11-21 16:35:00"
"SpaceIsKey","Solo",4,1,"Delo & Kintaro*","2013-11-21 21:45:00"
"Red Japan","Oldschool",12,2,"Ray","2013-11-22 18:04:00"
"Professional","Oldschool",18,3,"Moby Dog","2013-11-22 18:04:00"
"Triplecan","Solo",16,4,"Cøke","2013-11-22 20:23:00"
"Top 1","Novice",2,2,"mikey12","2013-11-24 00:05:00"
"Uncharted","Brutal",24,3,"Stalker","2013-11-24 03:32:00"
"AIB Quest 1","Solo",12,3,"Pipou","2013-11-27 15:36:00"
"Continuum","Oldschool",18,3,"spimm","2013-11-28 19:41:00"
"KeeZ","Moderate",13,4,"Zerodin","2013-11-28 20:48:00"
"Underwater","Moderate",15,5,"Stalker","2013-12-02 18:54:00"
"mmips","Brutal",18,1,"spimm","2013-12-04 23:42:00"
"MapleSyrup","Moderate",15,5,"Maple","2013-12-05 02:11:00"
"Request","Moderate",9,2,"BlaGK","2013-12-07 18:55:00"
"Bush","Oldschool",18,3,"Kintaro*","2013-12-08 15:37:00"
"Something","Brutal",24,3,"Ante. & Cøke","2013-12-08 15:53:00"
"Franky's Adventure","Brutal",24,3,"BooNi","2013-12-08 16:20:00"
"Caution","Moderate",11,3,"mikey12","2013-12-13 16:13:00"
"Lucifer","Brutal",21,2,"Stalker","2013-12-13 23:08:00"
"Easy Edge","Moderate",13,4,"Zerodin","2013-12-15 20:48:00"
"PetJack","Solo",12,3,"timakro","2013-12-16 21:27:00"
"Freeze Jungle","Moderate",13,4,"Zerodin","2013-12-17 16:37:00"
"Triplecan 2","Solo",20,5,"Cøke","2013-12-17 17:07:00"
"Galaxy Turn","Moderate",7,1,"Trinkflasche","2013-12-20 19:33:00"
"FLAP","Oldschool",18,3,"Cøke & Moby Dog","2013-12-20 23:27:00"
"Golden","Moderate",11,3,"mikey12","2013-12-21 03:37:00"
"FindTheFreeze","Moderate",9,2,"Suppe","2013-12-23 21:33:00"
"Reality","DDmaX",16,4,"Kintaro*","2013-12-24 15:28:00"
"Space & Time","Brutal",21,2,"Nickel","2013-12-25 04:28:00"
"Space & Time 2","Brutal",21,2,"Nickel","2013-12-25 04:28:00"
"Brown","Moderate",13,4,"Stervella","2013-12-26 02:14:00"
"Short Con","Solo",8,2,"Broken","2013-12-26 21:39:00"
"Miper 5","Oldschool",6,1,"Miper","2013-12-27 00:35:00"
"Miper 4","Oldschool",6,1,"Miper","2013-12-27 01:16:00"
