Map,Points,CountOfFinishes,CountOfFinishers,TotalTimeInMap(Sec)
Flappy Bird,0,32642,12959,241265305.58
Kobra,4,54203,18747,146347773.2
Kobra 2,3,50397,17686,105282612.68
Multimap,3,33465,12927,92031619.84
Kobra 4,4,34313,11707,91012493.74
Epix,4,32901,16451,61597894.86
Just2Easy,1,86788,34808,44242964.78
Absurd 4,4,27543,12059,43997436.0
Kobra 3,4,14522,7391,42480848.38
Purple Panic,8,24137,9957,39863813.5
Baby Aim 1.0,13,12517,5557,26898958.3
Light Grey,3,14120,9136,26118446.18
Icebreaker,4,9881,6430,23928696.88
Absurd 2,3,23879,12950,22127089.54
Baby Aim 2.0,15,11599,5243,21792788.94
Monster,13,14930,6071,20030240.7
Sunny Land,9,4510,3423,20021802.4
Seasons,1,18862,11188,19023611.14
Baby Aim 3.0,15,6545,3378,18300137.3
ZeroX,2,16298,9764,17365562.34
Introduction,2,18084,10742,17321898.14
Pados 2,3,9012,6398,17219993.32
Fly to the Moon,12,4818,3046,17020216.02
Houll,3,14434,9126,16948335.9
Naufrage 2,24,3241,2172,16608778.7
Nostalgia,21,4253,2257,16531555.58
Planet Mercury,4,12835,7807,15990750.64
Thor,3,9666,6974,15972467.88
Dark Moon,3,11228,7376,15648187.14
Camouflage,3,26352,13991,15455010.34
HookThrough3,11,18592,7219,15296780.74
CandyLand,1,18391,10876,15264785.42
Goo!,4,12847,7551,15091550.9
Race_Sanktoras,4,7772,5306,14970574.66
Naufrage 3,24,2033,1505,14469280.06
4Nubs,1,29194,16348,14244148.32
Hookthrough,7,18832,9320,14114550.36
Noo!,9,7420,4804,14043842.4
Empire Desp,5,9808,6301,13973807.54
StepByStep,1,41019,18717,13942270.82
Planet Mars,4,6827,5037,13847921.7
For Idiots 1,2,18289,11315,13829674.2
Ovell,3,8084,5647,13780931.68
Purple Panic 4,11,4700,2898,13733592.78
AiP-Gores,6,18731,8928,13623635.18
run_guy_25,8,11384,5188,13333998.04
Seagulls,5,8004,5550,13207566.12
BlueChaos,4,15029,8892,13180524.36
newbee,2,21234,11345,12952241.44
Hoo!,4,20200,10793,12922188.96
Purple Panic 2,8,6729,4232,12760148.44
Threll,3,7046,5086,12544600.72
Neverwhere,15,1274,1072,12526233.74
It's Easy,2,21553,12715,12324780.56
MonkeyDream,7,10667,6744,12322712.88
Kindergarten,5,5021,3727,12248778.54
Kaylite,4,9154,6313,11809295.52
benrace,3,7771,5325,11715716.2
Pados 1,1,14058,9669,11473570.54
Tropica,9,4706,3165,11419204.3
Coffee I,7,8302,5498,11083410.42
[School] Hook,2,16381,10144,11029070.56
Jungle Camp,5,6846,4652,11005897.3
Shadow,5,6141,4448,10958295.04
(wasntme),4,9633,6144,10913167.04
Island Rush,1,11673,8309,10817274.02
Tiny Tandem,3,14988,9438,10628924.76
Naufrage,21,2803,1903,10580820.52
Cup of Tee,7,9481,5646,10537000.66
xyz_ddrace2,3,11542,7365,10350997.84
Red Avenue,13,2204,1626,10258035.64
For Idiots 2,2,12450,8104,10255475.64
Joyride,4,22127,10411,10253643.8
Killa 3,5,5667,4289,10205435.9
Next Grey,9,5622,3380,10163528.48
Planet Venus,5,2883,2347,10051746.36
Pale,4,9810,5698,10020187.7
Cartoon,4,12074,6864,9912143.42
Absurd 1,3,10670,7153,9738880.6
Psyll,3,6839,5041,9721086.68
Supernova,18,3741,2199,9655962.02
