Rank	"Nickname"	Points
1	"Cor"	27998
2	"Starkiller"	27948
3	"Aoe"	27529
4	"Colo-Colo"	27483
5	"Freezestyler"	27360
6	"HaHAxD*"	27020
7	"Grk0ne"	26797
8	"TyшkaNчuk"	26575
9	"ano :3"	26307
10	"I.K.U"	25130
11	".:Danytto:."	24856
12	"NovaShock"	24716
13	"Infern@L"	24536
14	"bano"	24402
15	"Esckiller"	24172
16	"BaconDrink"	24151
17	"<BµmM>"	23700
18	"Cendren"	23580
19	"Noctua"	23285
20	"Cireme"	22635
21	"Goran"	22223
22	"superdial"	22136
23	"ScReeNy"	21782
24	"Knuski"	21694
25	"qed"	21622
26	"triki"	21468
27	"Graves"	21146
28	"MPA3b"	21029
29	"Black Jack"	21015
30	"DaGiese :>"	20978
31	"Xi"	20852
32	"Konsti"	20567
33	"FUMOFFU"	20564
34	"Cøke"	20563
35	"lufu1"	20367
36	"=Schulzer="	20261
37	"Kicker"	20203
38	"Skaydox"	19924
39	"Blurry"	19734
40	"Cyclic~"	19584
41	"Tropo"	19554
42	"ZimE"	19394
43	"milk"	19184
44	"Soapy Sandwich"	19144
45	"Wombat"	19141
46	"Ske"	19021
47	"Mystery?"	19006
48	"Fluday"	18871
49	"Smetanolub"	18857
50	"KuNao"	18841
51	"Keun"	18744
52	"Exotix"	18513
53	"Beiroc"	18489
54	"AvapiX"	18354
55	"gB. | Kayumi"	18303
56	"QzBoY"	18229
57	"Xploit"	18123
58	"Tea"	18056
59	"Meow~"	17962
60	"sorgaxD"	17924
61	"coradax"	17869
62	"[Wu]*GzA"	17846
63	"LCSG47"	17750
64	"Chairn"	17708
65	"rqza"	17612
66	"Genex"	17568
67	"'faceless"	17467
68	"LanuX"	17425
69	"Pepsicola_o0"	17201
70	"Matrix"	17191
71	"Theon"	17100
72	"Forris"	16911
73	"^b[Bro] flummi"	16766
74	"Tarzan"	16578
75	"Gorden"	16495
76	"LuckyStrike"	16292
77	"Quote"	16267
78	"☯Mڶɴ3☯"	16263
79	"Abel Moolman"	16127
80	"Cazanna"	16123
81	"Sir Kruksic"	16079
82	"nameless tee"	16045
83	"Limbo"	15949
84	"Slayer"	15908
85	"PlantKnight"	15853
86	"Inner peace"	15782
87	"I See You"	15658
88	"|Ŗaþŧurę|"	15632
89	"murpi"	15619
90	"Keffz"	15609
91	"Night_L"	15541
92	"StarkillerJr.<3"	15520
93	"Gurky"	15513
94	"┇»MiM«┇"	15499
95	"Ryu"	15469
96	"XxDarkNezZ"	15376
97	"iParano"	15373
98	"Elit3N0ob"	15323
99	"---------"	15316
100	"Wondernoob"	15266
101	"Shawn."	15182
102	"Akari"	15148
103	"zelda."	15059
104	"顾慌"	15018
105	"Zhady"	15000
106	"Brokecdx-"	14987
107	"Iaan~|"	14888
108	"Brezzel"	14859
109	"NeXus"	14838
110	"Jimmy Jazz"	14783
111	"Yota."	14709
112	"Mike Litoris"	14655
113	"Smurfer"	14588
114	"GlobQ"	14576
115	"KlexMikrowelle"	14572
116	"|JB*|Golden Axe"	14509
117	"Chyste"	14479
118	"yo bitch"	14339
119	"MØtiv"	14285
120	"Donger"	14276
121	"Mr.E}|{UK"	14268
122	"David*°Villa"	14263
123	"NISO"	14153
124	"*~Rôny~*"	14095
125	"Teeson"	14033
126	"Zuko"	14007
127	"Deathman"	13979
128	"Hindu"	13960
129	"ghg"	13881
130	"SiuFu"	13846
131	"Marii"	13841
132	"Cerberus"	13806
133	"Tezcan"	13805
134	"Nurxil"	13747
135	"Rentom12"	13544
136	"Evgesha"	13477
137	"*|Loading*"	13464
138	"NANAMAR"	13436
139	"-Mage-"	13431
140	"Sαnti~"	13421
141	"Eki"	13386
142	"Lexin"	13379
143	"幻想"	13337
144	"The real LOL"	13315
145	"Мамбо"	13299
146	"bol'shaya hyina"	13270
147	"Kandiifloss"	13261
148	"dragon"	13251
149	"shoxX"	13244
150	"Delirio"	13241
151	"Du4b"	13232
152	"满月"	13213
153	"Jawsh"	13200
154	"Skyrx"	13200
155	"Zwelf"	13150
156	"Hydra"	13145
157	"тυx"	13143
158	"tatak"	13112
159	"Pauline"	13092
160	"NightMarsmellow"	13053
161	"Hesse"	13051
162	"Gigabyte"	12990
163	"RavenXXX"	12953
164	"Obst"	12889
165	"歪比巴卜"	12879
166	"[Antee-Virus]"	12834
167	"Fox"	12779
168	"FiL"	12710
169	"HalfN00b"	12683
170	"-nOobfighter-"	12629
171	"mememe"	12627
172	"Nejik :3"	12627
173	"Her0"	12623
174	"©ßøæø®"	12548
175	"VéNa"	12506
176	"PeX"	12499
177	"DiegoBlaster21"	12478
178	"ad"	12459
179	"maggi323"	12447
180	"Sama"	12427
181	"MSTAR"	12426
182	":)"	12407
183	"Ama"	12376
184	"Profi"	12376
185	"Ra!n"	12326
186	"wink"	12318
187	"Filis"	12299
188	"Deeper"	12288
189	"Cougar~"	12269
190	"Armin v Buuren"	12264
191	"<#><#><#><#><#>"	12245
192	"White-King"	12240
193	"Crytek"	12179
194	"被强煎的蛋"	12135
195	"yishun"	12130
196	"Meraҝi"	12072
197	"Large"	12064
198	"anita"	12064
199	"clefairy'"	12045
200	"Meliodafu"	12036
201	"Joker.♥"	12033
202	"BisZ"	11980
203	"corneum"	11928
204	"ZiKkie"	11917
205	"TeeWurst Neon"	11915
206	"JDBCExample"	11895
207	"Shocker"	11789
208	"krümelmonster"	11772
209	"SPΞCTRUM"	11757
210	"Fegus"	11753
211	"Phoenix"	11752
212	"Lumpy ◐ω◑"	11749
213	"tela"	11653
214	"«Èni®õ§|*>"	11637
215	"tinky"	11598
216	"PaHDeRa"	11573
217	"maoni"	11569
218	"Bre3kAcHu"	11555
219	"Tyga."	11543
220	"Spooky"	11532
221	"daladen"	11504
222	"rhino"	11491
223	"Bug"	11486
224	"WhiteBULL"	11479
225	"jao"	11467
226	"Jesus Christ"	11412
227	"Shrekich"	11410
228	"rockuS"	11407
229	"DoubleDipp"	11395
230	"d3fault"	11388
231	"kenzo"	11388
232	"Poltix"	11387
233	"simple"	11362
234	"猫猫"	11358
235	"Sir Skeleton"	11340
236	"Elsa Cowea"	11340
237	"Hake"	11313
238	"Imperius"	11309
239	"绝对白给"	11267
240	"☆.Sυsнι♪"	11241
241	"c[]okie m[]nsta"	11236
242	"RedFight"	11233
243	"Fimp"	11227
244	"R41NB0W"	11180
245	"Jim-panse"	11159
246	"Lady Saavik"	11136
247	"Kill4FuN"	11118
248	"Hidden-Ezio"	11098
249	"Kati"	11088
250	"darky"	11086
251	"Счастье"	11058
252	"Shiriusu"	11054
253	"Rakudai"	11047
254	"gruik"	11028
255	"Super"	11026
256	"3oTo"	11007
257	"Skeith"	10947
258	"Amu~Cookie"	10944
259	"Gooran"	10936
260	"Cans"	10875
261	"Moiman"	10827
262	"Cherry"	10826
263	"lock"	10826
264	"Intercity"	10824
265	"Pwner"	10820
266	"Pepe"	10803
267	"Jojo"	10793
268	"Ayame"	10772
269	"DZO"	10764
270	"zattttt"	10729
271	"kezo"	10720
272	"Keiss"	10633
273	"natchies"	10606
274	"AspHyXiA"	10602
275	"ALPHA"	10582
276	"Reed"	10582
277	"RageBaby"	10575
278	"venoM"	10524
279	"garry"	10523
280	"Ark :3"	10496
281	"Cola Dose"	10473
282	"lola"	10463
283	"Patiga"	10452
284	"杨帆"	10427
285	"abcqwerty"	10398
286	"Beard"	10397
287	"StorмPʜöɴix"	10377
288	"Jakral"	10376
289	"Novo c:"	10375
290	"it robertusg"	10367
291	"x.RaveN'"	10358
292	"-Twist°~"	10323
293	"M Emile"	10312
294	"brainless tee"	10311
295	"Neben"	10283
296	"TeeLee"	10230
297	"Radoo-'SaT"	10221
298	"2oo"	10217
299	"mY selF'"	10209
300	"ReD"	10208
301	"zff"	10198
302	"Natsume"	10194
303	"Dherian!"	10173
304	"15"	10172
305	"Skadi"	10148
306	"لارقام✈"	10140
307	"Hunter13ua"	10113
308	"Qywinc"	10085
309	"fikmesån"	10077
310	"BRAIT"	10073
311	"B'RexterPL"	10052
312	"xXxTee'"	10050
313	"Shiro01"	10026
314	"zessU"	10026
