Rank,Nickname,Points,Insane_pts,List_of_insane_maps
1,.wer das liest,34,34,[('Justice', 34)]
2,ist doof!,34,34,[('Justice', 34)]
3,Kacke,34,34,[('Justice', 34)]
4,Novo c;,34,34,[('Justice', 34)]
5,ZiKkie Feodal?,34,34,[('Adrenaline 4.1', 34)]
6,ZiKkie1,34,34,[("Yo'Ci", 34)]
7,na zad,34,34,[("Yo'Ci", 34)]
8,BeaR & Lwai,34,34,[('Generic World', 34)]
9,Roco [D],34,34,[('Binary', 34)]
10,(D) Roco,34,34,[('Binary', 34)]
11,Vendetta WhenR1,34,34,[('Binary', 34)]
12,GER>SUCKS,34,34,[('Adrenaline 4.2', 34)]
13,Sir zhnocenbabo,34,34,[('Adrenaline 4.2', 34)]
14,Filis HUASO,34,34,[("Yo'Ci", 34)]
15,Xiao Ning'er,34,34,[('Binary', 34)]
16,:y,34,34,[('Binary', 34)]
17,kicker petuch,34,34,[('Binary', 34)]
18,starkillernutte,34,34,[('Binary', 34)]
19,syltooxhuensohn,34,34,[('Binary', 34)]
20,kogda25min daun,34,34,[('Binary', 34)]
21,[D] Savalic,34,34,[('Binary', 34)]
22,BRAZILIAN RACER,34,34,[('Binary', 34)]
23,(1)人形,34,34,[('Binary', 34)]
24,ЪИЪ,34,34,[('Adrenaline 4.1', 34)]
25,Darekube,34,34,[('Binary', 34)]
26,mandalorec,34,34,[('Binary', 34)]
27,Nab,34,34,[('Binary', 34)]
28,кap карыч,34,34,[('Binary', 34)]
29,пин,34,34,[('Binary', 34)]
30,psi,34,34,[('4q', 34)]
31,cyclic ql <3,34,34,[('Springlobe 3', 34)]
32,жопа,35,34,[('Binary', 34)]
33,Jin Mori,36,34,[('Aimazing', 34)]
34,350min afk btw,38,38,[('Ravillion', 38)]
35,Dimp sucks,38,38,[('Ravillion', 38)]
36,Gridwyn [D],38,38,[('Ravillion', 38)]
37,Loathing,38,38,[('Ravillion', 38)]
38,SpykerSux?,38,38,[('Ravillion', 38)]
39,Adsl,38,38,[('Ravillion', 38)]
40,Koala suckeru,38,38,[('Ravillion', 38)]
41,Koala Best Clan,38,38,[('Ravillion', 38)]
42,Riley Reid 1,38,38,[('Ravillion', 38)]
43,Riley Reid 2,38,38,[('Ravillion', 38)]
44,dio cane,38,38,[('Ravillion', 38)]
45,kickerkogdaskip,38,38,[('Ravillion', 38)]
46,я пидор,38,38,[('Ravillion', 38)]
47,SA>RUS,38,38,[('Ravillion', 38)]
48,Ajayeb Shahr,38,38,[('Ravillion', 38)]
49,Themix can sk,38,38,[('Ravillion', 38)]
50,my fukin dick,38,38,[('Ravillion', 38)]
51,xeno?,38,38,[('Ravillion', 38)]
52,öhm,38,38,[('Ravillion', 38)]
53,10€ Heartcore,38,38,[('Ravillion', 38)]
54,and Ravillion,38,38,[('Ravillion', 38)]
55,армин ху,38,38,[('Ravillion', 38)]
56,arii_noob,38,38,[('Ravillion', 38)]
57,arii_worst,38,38,[('Ravillion', 38)]
58,Ari_bad,38,38,[('Ravillion', 38)]
59,Ari_crap,38,38,[('Ravillion', 38)]
60,Kill Cendren,38,38,[('Ravillion', 38)]
61,Stab Cendren,38,38,[('Ravillion', 38)]
62,sk more jesus D,38,38,[('Ravillion', 38)]
63,kys (: wena,38,38,[('Ravillion', 38)]
64,kys :) In Chile,38,38,[('Ravillion', 38)]
65,Lwai 中国,38,38,[('Ravillion', 38)]
66,SUB TO KENZO,38,38,[('Ravillion', 38)]
67,MiuTheBest ♥,38,38,[('Ravillion', 38)]
68,SylBoY,38,38,[('Ravillion', 38)]
69,slytox wash,38,38,[('Ravillion', 38)]
70,your dick,38,38,[('Ravillion', 38)]
71,RLS W3NA!,38,38,[('Ravillion', 38)]
72,27+,38,38,[('Ravillion', 38)]
73,Santee Claus,38,38,[('Ravillion', 38)]
74,IzumiiBest♥,38,38,[('Ravillion', 38)]
75,RiriiBest♥,38,38,[('Ravillion', 38)]
76,jao NiggerFuck,38,38,[('Ravillion', 38)]
77,jao scuck,38,38,[('Ravillion', 38)]
78,Pipounoob,38,38,[('New Generation', 38)]
79,lil_mzrk,38,38,[('Ravillion', 38)]
80,Fimp AHAHHAHAHA,38,38,[('Ravillion', 38)]
81,Fimp = Simp,38,38,[('Ravillion', 38)]
82,SCRenny,38,38,[('Ravillion', 38)]
83,ɌʘϚỤϚК,38,38,[('Ravillion', 38)]
84,Betrayed,38,38,[('Ravillion', 38)]
85,lil sorrow,38,38,[('Ravillion', 38)]
86,nopea = god,38,38,[('Ravillion', 38)]
87,Fallet loh,38,38,[('Ravillion', 38)]
88,q Valet,38,38,[('Ravillion', 38)]
89,kicker lox,40,38,[('Ravillion', 38)]
90,William Blake,42,42,[('Heartcore', 42)]
91,Amol sucks,42,42,[('4u', 42)]
92,N9 kogdafinish,42,42,[('4u', 42)]
93,deport chile,42,42,[('Heartcore', 42)]
94,WENA GANG 060,42,42,[('Heartcore', 42)]
95,(1)Takito,42,42,[('Back in Time 2', 42)]
96,zelda hoe,42,38,[('Ravillion', 38)]
