Rank,Player,Points,TotalTime(Hours)
1,Soapy Sandwich,19144,10236.14
2,bano,24402,9782.94
3,Cøke,20563,9763.59
4,nameless tee,16045,9317.03
5,Tridemy,6134,8859.95
6,brainless tee,10311,8635.98
7,弟中弟O3O,5075,6960.48
8,谢佬,5014,6722.42
9,布丁水果挞,3255,6710.41
10,我需要支援,1713,6587.77
11,NavyTahn,2788,6547.73
12,咩咩咩,584,6410.92
13,(1),9870,3121.12
14,.,5757,2119.38
15,Deathman,13979,2007.44
16,NovaShock,24716,1923.41
17,TyшkaNчuk,26575,1911.63
18,Esckiller,24172,1801.68
19,Starkiller,27948,1790.3
20,Misse,6093,1684.76
21,Colo-Colo,27483,1643.11
22,Freezestyler,27360,1636.52
23,tinky,11598,1635.6
24,<BµmM>,23700,1632.53
25,Graves,21146,1584.26
26,Grk0ne,26797,1563.18
27,HaHAxD*,27020,1461.66
28,Skeith,10947,1390.54
29,Cola Dose,10473,1366.33
30,Cor,27998,1365.17
31,Igrekyll,2887,1364.03
32,Xploit,18123,1321.04
33,Neko,9084,1306.65
34,Konsti,20567,1291.72
35,Broken,7142,1285.32
36,顾慌,15018,1257.84
37,Cendren,23580,1239.11
38,Aoe,27529,1228.08
39,[D] Igrekyll,240,1213.12
40,MisseD,308,1207.89
41,Skaydox,19924,1194.06
42,Songoku,7715,1182.11
43,φι,5909,1178.89
44,Beiroc,18489,1175.28
45,ЗЛЫДЕНЬ,5013,1171.02
46,wink,12318,1167.09
47,Infern@L,24536,1165.06
48,.:Danytto:.,24856,1164.02
49,Intercity,10824,1159.63
50,Kill4FuN,11118,1157.58
51,满月,13213,1156.68
52,Goran,22223,1156.42
53,Noctua,23285,1145.71
54,Emp,5543,1136.55
55,MPA3b,21029,1134.87
56,杨帆,10427,1134.22
57,Eki,13386,1133.5
58,Xi,20852,1131.23
59,Keiss,10633,1129.83
60,Abel Moolman,16127,1128.6
61,幻想,13337,1123.22
62,Keun,18744,1115.33
63,Cazanna,16123,1106.09
64,:),12407,1105.23
65,d3fault,11388,1100.43
66,Carrey,8735,1097.02
67,sorgaxD,17924,1093.54
68,Kicker,20203,1091.39
69,KuNao,18841,1089.75
70,fikmesån,10077,1081.84
71,Quote,16267,1074.79
72,┇»MiM«┇,15499,1072.3
73,ano :3,26307,1071.85
74,murpi,15619,1069.04
75,Tarzan,16578,1065.87
76,(1)nameless tee,2793,1051.18
77,senseye3,5504,1048.51
78,qed,21622,1045.97
79,zattttt,10729,1038.01
80,黑化窜天猴,9186,1033.57
81,reVar,7174,1030.76
82,David*°Villa,14263,1026.43
83,Theon,17100,1022.58
84,ZimE,19394,1018.8
85,QB貓,5538,1012.73
86,danylr,6565,1012.03
87,zelda.,15059,1011.34
88,I.K.U,25130,1009.76
89,triki,21468,1009.27
90,Negativ,8399,1007.34
91,Green,5560,1007.27
92,Nurxil,13747,1004.14
93,superdial,22136,1002.39
94,被强煎的蛋,12135,1000.47
95,Jakral,10376,999.89
96,AvapiX,18354,999.3
97,The real LOL,13315,995.12
98,Marii,13841,993.88
99,Hindu,13960,992.71
100,Espancador,5941,989.93
101,Obst,12889,973.79
102,B.i.G,5432,972.07
103,---------,15316,965.99
104,Exotix,18513,964.32
105,Akari,15148,963.18
106,Black Jack,21015,960.25
107,Knuski,21694,954.31
108,歪比巴卜,12879,951.19
109,maoni,11569,949.96
110,LuckyStrike,16292,947.15
111,猫,9575,942.16
112,Alasia <3,7122,940.44
113,'faceless,17467,939.9
114,我就蹭蹭,9158,939.84
115,Счастье,11058,933.99
116,暖阳,8524,933.37
117,Lumpy ◐ω◑,11749,932.25
118,青迎月,8379,930.82
119,NeXus,14838,930.28
120,anita,12064,929.66
121,less,10005,929.6
122,zff,10198,926.77
123,Tropo,19554,925.37
124,gB. | Kayumi,18303,919.97
125,Shiriusu,11054,917.54
126,1,5134,917.45
127,Chairn,17708,915.94
128,JDBCExample,11895,914.53
129,Delirio,13241,913.47
130,Sweeeeet GM :>,8400,908.33
131,ScReeNy,21782,908.17
132,Mystery?,19006,906.73
133,tela,11653,903.95
134,Aria,6902,902.0
135,|JB*|Golden Axe,14509,896.76
136,SiuFu,13846,896.18
137,Loc Adc,6913,894.9
138,LLFS,8530,888.86
139,Wombat,19141,888.68
140,Coke,7751,885.66
141,Matrix,17191,884.78
142,=Schulzer=,20261,884.29
143,ad,12459,875.4
144,mememe,12627,872.6
145,Slayer,15908,872.56
146,peachyx,9847,871.57
147,Qu!ck,8105,870.87
148,(1)brainless te,2069,865.67
149,绝对白给,11267,865.13
150,*|Loading*,13464,864.91
151,milk,19184,864.36
152,Lady Saavik,11136,860.75
153,Rentom12,13544,858.56
154,L,5565,858.25
155,Cireme,22635,858.01
156,Wei_Wei,4813,857.39
157,Fox,12779,856.84
158,lock,10826,853.62
159,Keffz,15609,850.52
160,Iaan~|,14888,846.25
161,Sir Skeleton,11340,845.0
162,开心,3084,844.86
163,Tezcan,13805,844.73
164,fish,5813,844.51
165,快乐的萌新,5153,841.16
166,RockerMan,6958,839.75
167,天然二,7447,838.28
168,Smurfer,14588,838.11
169,Elit3N0ob,15323,835.77
170,黑,7464,834.48
171,猫猫,11358,833.8
172,WhiteBULL,11479,833.25
173,PeX,12499,832.23
174,Kasia,8775,829.19
175,Moiman,10827,821.82
176,R41NB0W,11180,821.51
177,nathanj,7209,820.0
178,Dust fall,7074,819.69
179,Armin v Buuren,12264,815.77
180,Lagar,9556,814.05
181,小白,1586,813.91
182,Brezzel,14859,813.48
183,Tea,18056,812.64
184,Gurky,15513,810.45
185,Yashicat,5557,809.62
186,OsheOse,7818,809.46
187,及时行乐,6931,808.67
188,Cyclic~,19584,807.86
189,cgg,6611,806.09
190,PlantKnight,15853,804.64
191,Pepsicola_o0,17201,803.62
192,躺好鸭,6746,801.64
193,Kaama,8177,801.44
194,~0,6278,798.89
195,By,7763,798.44
196,BaconDrink,24151,797.96
197,玉米,7386,797.56
198,Fegus,11753,795.58
199,lufu1,20367,791.28
200,<#><#><#><#><#>,12245,790.14
201,󠀡,5405,790.06
202,玉子,9247,787.33
203,我要做勾神,5235,786.33
204,Large,12064,785.08
205,Pepe,10803,784.51
206,FUMOFFU,20564,784.33
207,Shawn.,15182,783.53
208,krümelmonster,11772,782.69
209,美夢,3746,782.67
210,Doc带你飞,6864,782.11
211,Eng,7167,781.89
212,Jimmy Jazz,14783,780.86
213,Night_L,15541,780.79
214,Zhady,15000,780.58
215,坎R坷,5704,779.24
216,dragon,13251,779.14
217,Bolox,9849,776.07
218,Mariac,8873,775.67
219,猪队友,6177,775.42
