ID,Points,Label
0,6038,"onionly .me'"
1,678,"Rigmu"
2,3274,"deen"
3,603,"Hitomi"
4,7990,"=phacrum="
5,4866,"cris"
6,10388,"Lady Saavik"
7,5094,"EryX"
8,1468,"➽"
9,9447,"=645654="
10,2110,"[Smartee]"
11,3487,"russsell"
12,932,"Juli"
13,2744,"Delo"
14,2297,"BooNi"
15,11026,"Hidden-Ezio"
16,3060,"*WuDL*"
17,9407,"Sir Kruksic"
18,8713,"Ama"
19,867,"NikE"
20,8078,"Welf"
21,4152,"Avo"
22,7569,"RosenVerkäufer"
23,13969,"Chairn"
24,12957,"RavenXXX"
25,945,"Birne"
26,1057,"Neo"
27,14375,"Cøke"
28,16409,"Aoe"
29,7160,"Teeson"
30,788,"|BlaGK|›"
31,1073,"abc"
32,10337,"Ark :3"
33,1725,"Kasia"
34,4045,"hohesC"
35,1700,"Amedeo [ITA]"
36,960,"ROles!  l_I"
37,3068,"!_Vergeboy_!"
38,5851,"Pistro"
39,9171,"Intercity"
40,5141,"Jim-panse"
41,604,"LordKnusper"
42,675,"Psycho"
43,762,"Danya"
44,4084,"Sky-Bear"
45,3393,"Wolƒ.▲"
46,12119,"Fox"
47,1077,"Tygox"
48,754,"Orkan."
49,1874,"Knight :3"
50,1060,"Jayce"
51,1785,"Purlax"
52,8726,"TomeeY"
53,2573,"NooBxGockeL"
54,1420,"SaeF"
55,2816,"Tee"
56,3771,"M@TR!X"
57,757,"Fussel"
58,5578,"mikey12"
59,5299,"Ironik"
60,4686,"Virus2k"
61,9301,"«Èni®õ§|*>"
62,3808,"gB. | Ante."
63,1400,"aaa"
64,852,"YeahxX"
65,2178,"vinci13"
66,11771,"nameless tee"
67,3062,"Unknown"
68,2049,"Днищеl"
69,6707,"Fumm"
70,1463,"TURK"
71,4421,"nuborn"
72,1123,"walter"
73,6033,"PitausK"
74,3817,"Pados"
75,1227,"Teek"
76,1511,"Karl der Käfer"
77,8814,"Jambi*"
78,4041,"Zgokee"
79,12020,"Hindu"
80,16252,"Forris"
81,7461,"Ninja_Valik"
82,8752,"Sir Skeleton"
83,1985,"hellrider"
84,4647,"AspHyXiA"
85,9152,"maggi323"
86,3000,"Syntex"
87,6304,"secreT"
88,5611,"Elephant"
89,7076,"aMu"
90,886,"PushMyMushSir"
91,4141,"Suppe"
92,782,"Leazor"
93,2654,"Azerty"
94,8575,"BeaR"
95,5725,"Metal For Life"
96,783,"Shorefire"
97,1176,"Synyster"
98,5608,"Rolf"
99,6981,"SkiLLz"
100,1226,"FarinDoc"
101,644,"CrAzY0o"
102,4335,"260tee"
103,4924,"Maddin"
104,1232,"Gendalf"
105,14609,"Cireme"
106,2326,"Destoros"
107,17223,"LanuX"
108,5383,"TeeWurst Neon"
109,3308,"Koala"
110,4030,"Brainless"
111,908,"Angel"
112,626,"zuzu"
113,6930,"(1)"
114,2142,"Blub"
115,2166,"cHew*"
116,4089,";D"
117,1260,"Pedo Bärchen"
118,3498,"I\\I4I\\/I3"
119,706,"Pam"
120,2963,"Giraffenkönig"
121,1063,"Twiz"
122,1502,"nooby"
123,6496,"Brezzel"
124,17046,"lufu1"
125,8293,"Loop :3"
126,7610,"krümelmonster"
127,8961,"Lexin"
128,3998,"Gerbl4"
129,4829,"Skeptar"
130,2791,"El qp"
131,5720,"٭ıƞdex'<3"
132,3801,"DeeP <33"
133,744,".Rico"
134,771,"Fluni"
135,2811,"Dimidrolli"
136,4969,"- Jogginghose"
137,2153,"Ekie ♂"
138,1424,"!XeNoN!"
139,2069,"Malak"
140,670,"TheVixer"
141,19136,"milk"
142,823,"h3x"
143,2993,"Simplefly"
144,1653,"(1)// red"
145,894,"crouser"
146,6590,"@string/name"
147,1291,"Mungaaah"
148,729,"Onizuka"
149,3109,"hagbard"
150,2525,"estern"
151,694,"NiamorTis"
152,1065,"Corn Flakes"
153,6597,"Spyker"
154,7531,"SPΞCTRUM"
155,2210,"Silex"
156,1593,"wexx"
157,1609,"[*MC*]-DuBai-.?"
158,788,"Uzumaki Naruto"
159,8034,"Qu!ck"
160,10023,"shoxX"
161,811,"Bee :3"
162,1253,"Dima"
163,2612,"Kenji"
164,1321,"Kladdy"
165,2238,"îltróf™"
166,1991,"Death Shinigami"
167,1654,"eliminator"
168,19083,"Wombat"
169,922,"Wind"
170,7376,"BisZ"
171,2198,"KBeeeR"
172,949,"UrinKeller"
173,1444,"tameless nee"
174,2650,"Chevy"
175,2790,"cruz"
176,6173,"Gambol"
177,1221,"east"
178,2685,"Yuzu"
179,10728,"Obst"
180,3566,"xoxo"
181,3674,"artkis"
182,1094,"Azza"
183,1016,"goldy"
184,1103,"Hubbel"
185,2581,"Gr☺sɇr~dbc~"
186,4096,"!!!"
187,965,"IIIIIIIIIIIIIII"
188,2039,"ElysianDevil"
189,2983,"Varys"
190,6006,"Cartman"
191,5941,"mys"
192,1765,"cHuBa"
193,2079,"CyborgSmurf"
194,14016,"Gurky"
195,1919,"Fudgyking"
196,2213,"~sergss~"
197,1943,"BeKill"
198,2894,"~FallenKing~"
199,2339,"chuLio"
200,870,"Crysis"
201,1989,"Skif4MF"
202,1630,"miruk"
203,7809,"Armin v Buuren"
204,1090,"Darkpain"
205,1883,"Cenarrius"
206,3621,"KAAN"
207,2653,"FakeDeath"
208,5038,"Problemkind."
209,1652,"Rattengeist"
210,613,"Artsy"
211,5383,"MrCarl"
212,1298,"Gartenzaun"
213,1202,"Zargon"
214,4098,"=Denkst du="
215,3350,"mgarc"
216,5911,"bindi"
217,11414,"ghg"
